rank,trial,value,dataset.batch_size,model.activation,model.dropout,model.kernel_topology_names,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,71,0.948718,32,gelu,0.224867,['star'],8.61279,0.000181873,56,True,1.9538e-07,33.5
2,27,0.935897,16,gelu,0.605482,['kings'],5.0019,0.00121233,41,True,5.02737e-06,35.1
3,33,0.935897,32,gelu,0.65079,['cross'],6.92046,0.000597352,86,True,5.1573e-06,28.8
4,42,0.935897,32,gelu,0.327513,['star'],7.55025,0.000142712,81,True,3.27342e-08,33.0
5,43,0.935897,32,gelu,0.342486,['star'],8.44174,0.00013139,81,True,2.91868e-08,33.7
6,45,0.935897,32,gelu,0.293346,['star'],9.96561,0.000137461,76,True,9.67699e-08,34.6
7,49,0.935897,32,gelu,0.316041,['star'],8.88276,0.000145582,61,True,9.29415e-08,31.1
8,51,0.935897,32,gelu,0.31629,['star'],9.31687,0.0001234,66,True,1.07886e-08,33.4
9,54,0.935897,32,gelu,0.209206,['star'],8.63948,0.000180856,61,True,2.74188e-07,34.3
10,81,0.935897,32,gelu,0.18153,['star'],8.59579,0.000212386,61,True,1.93316e-07,27.3
11,82,0.935897,32,gelu,0.221026,['star'],9.48528,0.000512726,61,True,2.81292e-07,24.4
12,83,0.935897,32,gelu,0.201234,['star'],9.07772,0.000167303,66,True,6.40788e-07,29.3
13,91,0.935897,32,gelu,0.202867,['star'],8.57714,0.000218197,66,True,1.69803e-07,35.2
14,94,0.935897,32,gelu,0.331216,['star'],9.03663,0.000125907,86,True,2.56339e-07,34.4
15,105,0.935897,32,gelu,0.209848,['star'],8.85514,0.000144684,71,True,1.67674e-07,34.6
16,109,0.935897,32,gelu,0.284127,['star'],9.16793,0.000104365,36,True,6.05187e-06,37.4
17,111,0.935897,32,gelu,0.206104,['star'],8.9949,0.000166208,66,True,5.22085e-07,34.4
18,113,0.935897,32,gelu,0.199332,['star'],8.54177,0.000164038,61,True,1.09208e-07,35.0
19,124,0.935897,32,gelu,0.280476,['star'],8.54154,0.000151862,71,True,1.03198e-07,34.3
20,131,0.935897,32,gelu,0.337445,['star'],8.43813,0.000132138,86,True,2.61611e-07,33.9
21,141,0.935897,32,gelu,0.213848,['star'],8.9591,0.000128294,71,True,3.12839e-07,33.7
22,142,0.935897,32,gelu,0.210405,['star'],8.73475,0.000147326,76,True,1.85014e-07,34.7
23,143,0.935897,32,gelu,0.237458,['star'],9.35319,0.000164954,71,True,1.57899e-07,34.4
24,151,0.935897,32,gelu,0.282174,['star'],9.20735,0.000106433,36,True,6.62587e-06,31.4
25,152,0.935897,32,gelu,0.315532,['star'],8.84209,0.000150932,81,True,5.23628e-06,38.6
26,154,0.935897,32,gelu,0.279665,['star'],7.00732,0.000188454,41,True,3.0642e-06,28.9
27,155,0.935897,32,gelu,0.30304,['star'],9.38559,0.000112197,31,True,6.65631e-06,31.3
28,161,0.935897,32,gelu,0.207358,['star'],8.90945,0.000157019,66,True,4.16815e-07,31.3
29,162,0.935897,32,gelu,0.235329,['star'],9.06477,0.000219558,66,True,5.41908e-07,31.8
30,163,0.935897,32,gelu,0.182867,['star'],8.70017,0.00014205,61,True,1.6425e-06,32.4
31,171,0.935897,32,gelu,0.193302,['star'],8.53347,0.000130754,61,True,1.71426e-07,36.1
32,173,0.935897,32,gelu,0.206902,['star'],9.16774,0.000183676,66,True,1.18554e-07,34.6
33,178,0.935897,32,gelu,0.164994,['star'],7.33871,0.000181789,66,True,5.10094e-07,29.5
34,179,0.935897,32,gelu,0.345695,['star'],9.22317,0.000306088,61,True,2.11754e-07,29.6
35,181,0.935897,32,gelu,0.304221,['star'],6.21488,0.000147325,71,True,1.48322e-07,34.5
36,183,0.935897,32,gelu,0.281619,['star'],8.12961,0.000220233,66,True,1.06669e-07,32.9
37,190,0.935897,32,gelu,0.312311,['star'],8.5257,0.00030104,56,True,2.43815e-06,31.4
38,191,0.935897,32,gelu,0.330094,['star'],8.81611,0.000129592,91,True,2.47849e-07,35.0
39,192,0.935897,32,gelu,0.341292,['star'],8.40906,0.00017396,86,True,1.79949e-07,34.8
40,199,0.935897,32,gelu,0.248057,['star'],8.9191,0.000156303,36,True,2.97291e-07,34.8
41,38,0.923077,32,gelu,0.420001,['star'],4.46684,0.000385641,91,True,1.45896e-07,33.5
42,39,0.923077,32,gelu,0.434236,['star'],4.62342,0.000428831,91,True,5.23949e-08,36.0
43,62,0.923077,32,gelu,0.317659,['star'],9.62416,0.000219525,61,True,1.63346e-08,33.4
44,104,0.923077,32,gelu,0.223735,['star'],4.15414,0.000184769,66,True,4.24539e-08,34.7
45,114,0.923077,32,gelu,0.321355,['star'],8.31888,0.00033464,71,True,2.21657e-06,35.0
46,120,0.923077,32,gelu,0.41515,['ring'],9.97241,0.00019192,56,True,3.25266e-06,34.6
47,121,0.923077,32,gelu,0.219614,['star'],8.61238,0.000234757,61,True,1.30081e-07,33.8
48,147,0.923077,32,gelu,0.181272,['star'],9.20787,0.000124162,76,True,0.000924948,34.6
49,150,0.923077,32,gelu,0.208645,['star'],8.14129,0.000272129,66,True,2.78726e-08,33.8
50,174,0.923077,32,gelu,0.194551,['star'],8.68041,0.000111666,66,True,2.14676e-07,34.6
51,4,0.910256,16,gelu,0.539677,['kings'],1.19594,0.00113815,71,True,2.29654e-06,33.9
52,22,0.910256,16,gelu,0.63062,['grid'],0.904327,0.000902852,36,True,2.0433e-06,26.8
53,29,0.910256,32,gelu,0.584445,['cross'],6.05534,0.000667556,86,True,4.55505e-06,29.8
54,32,0.910256,32,gelu,0.698567,['cross'],7.63313,0.00157768,86,True,1.87017e-06,29.1
55,40,0.910256,32,gelu,0.440125,['star'],4.57892,0.000399887,91,False,1.59249e-08,35.3
56,60,0.910256,32,gelu,0.3524,['horizontal'],7.27386,0.000347539,76,True,8.48583e-07,33.3
57,61,0.910256,32,gelu,0.304325,['star'],9.30408,0.000105278,66,True,1.20279e-08,33.9
58,73,0.910256,32,gelu,0.249195,['star'],9.19765,0.000560434,61,True,2.15422e-07,27.6
59,76,0.910256,32,gelu,0.0754451,['star'],8.25825,0.000870808,81,True,1.06854e-05,27.3
60,84,0.910256,32,gelu,0.150732,['star'],8.85912,0.000283803,41,True,3.59571e-08,18.8
61,87,0.910256,32,gelu,0.344817,['chain'],9.84038,0.000109609,76,True,1.14661e-06,34.7
62,98,0.910256,32,relu,0.608687,['kings'],6.4917,0.000237565,71,True,1.00871e-08,34.0
63,100,0.910256,32,gelu,0.559248,['cross'],7.49105,0.00199172,51,True,4.19801e-06,27.7
64,101,0.910256,32,gelu,0.233879,['star'],9.53555,0.000616976,61,True,8.68879e-08,28.8
65,103,0.910256,32,gelu,0.133176,['star'],9.13875,0.000324352,61,True,3.00731e-07,32.3
66,108,0.910256,32,gelu,0.38189,['star'],9.37003,0.00136606,56,True,2.67066e-07,23.8
67,117,0.910256,32,gelu,0.308988,['cross'],9.15695,0.000521933,86,True,1.01719e-06,35.7
