rank,trial,value,dataset.batch_size,model.activation,model.dropout,model.kernel_topology_names,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,74,0.961538,16,gelu,0.597892,['ring'],0.0671972,0.000658177,96,False,3.19363e-07,50.1
2,132,0.948718,16,gelu,0.555792,['vertical'],4.55616,0.000531387,81,True,4.23936e-07,50.6
3,135,0.948718,16,gelu,0.553413,['vertical'],4.1277,0.000391546,86,True,2.98213e-07,50.4
4,136,0.948718,16,gelu,0.545897,['vertical'],3.9332,0.000427178,76,True,3.09481e-07,49.6
5,138,0.948718,16,relu,0.493079,['vertical'],3.47112,0.000436549,76,True,6.88517e-07,50.5
6,140,0.948718,16,relu,0.489112,['vertical'],3.05459,0.0011732,71,True,4.82863e-07,50.5
7,141,0.948718,16,relu,0.495814,['vertical'],3.37989,0.00118756,76,True,4.62663e-07,49.8
8,142,0.948718,16,relu,0.49946,['vertical'],3.67676,0.00119835,76,True,4.55653e-07,50.3
9,147,0.948718,16,relu,0.529378,['vertical'],4.02903,0.000871835,76,True,1.6602e-06,49.9
10,151,0.948718,16,relu,0.552624,['vertical'],4.61419,0.00103077,76,True,1.00623e-06,50.3
11,155,0.948718,16,relu,0.521814,['vertical'],4.33175,0.000601091,71,True,1.10673e-06,50.4
12,160,0.948718,64,relu,0.524748,['vertical'],4.29498,0.000922192,71,True,5.95031e-07,37.0
13,161,0.948718,64,relu,0.526215,['vertical'],4.30371,0.000896255,71,True,6.68421e-07,36.3
14,162,0.948718,64,relu,0.527569,['vertical'],4.3949,0.000989828,71,True,6.24665e-07,37.0
15,163,0.948718,64,relu,0.523978,['vertical'],4.38168,0.000961455,71,True,9.74648e-07,42.0
16,164,0.948718,64,relu,0.526938,['vertical'],4.28708,0.000924821,66,True,1.03374e-06,36.0
17,169,0.948718,64,relu,0.488662,['vertical'],4.43991,0.00145997,71,True,8.57819e-07,36.6
18,172,0.948718,64,relu,0.558952,['vertical'],4.00257,0.00104314,66,True,1.24281e-06,36.7
19,179,0.948718,64,relu,0.513735,['vertical'],4.2773,0.00115655,66,True,1.37743e-06,36.5
20,181,0.948718,64,relu,0.516884,['vertical'],4.27655,0.00114141,66,True,3.30761e-06,36.5
21,182,0.948718,64,relu,0.505591,['vertical'],4.54993,0.000840925,66,True,1.21739e-06,36.7
22,187,0.948718,64,relu,0.513895,['vertical'],4.19356,0.000724941,76,True,7.00023e-07,37.3
23,188,0.948718,64,relu,0.494197,['vertical'],4.66554,0.00130971,71,True,1.71586e-06,36.1
24,190,0.948718,64,relu,0.558113,['vertical'],3.85157,0.000904006,66,True,1.35243e-06,36.4
25,191,0.948718,64,relu,0.512534,['vertical'],4.27758,0.00118003,66,True,3.21476e-06,36.5
26,192,0.948718,64,relu,0.519166,['vertical'],4.42789,0.00109729,66,True,2.66905e-06,36.2
27,195,0.948718,64,relu,0.523725,['vertical'],3.69646,0.000944061,66,True,3.66807e-07,36.0
28,23,0.935897,16,relu,0.380413,['ring'],2.8889,0.000118117,41,True,4.02063e-07,49.8
29,26,0.935897,16,gelu,0.37949,['ring'],4.35422,0.000142678,81,False,9.08403e-08,49.9
30,30,0.935897,16,gelu,0.521185,['ring'],0.517094,0.000122113,91,False,4.40638e-07,50.1
31,31,0.935897,16,gelu,0.608812,['ring'],0.799652,0.000138042,91,False,3.5719e-07,50.7
32,33,0.935897,16,gelu,0.622643,['ring'],0.586471,0.000109826,86,False,4.36308e-07,49.7
33,41,0.935897,16,gelu,0.606176,['ring'],0.759422,0.000133231,86,False,5.01248e-07,50.1
34,44,0.935897,16,gelu,0.58587,['ring'],1.70414,0.000154979,6,False,4.82326e-07,36.7
35,51,0.935897,16,gelu,0.63604,['ring'],0.843863,0.000113366,86,False,3.85318e-07,50.4
36,54,0.935897,16,gelu,0.518496,['ring'],2.0088,0.000171828,76,False,1.54684e-07,50.2
37,56,0.935897,16,gelu,0.287463,['ring'],0.566485,0.000264617,91,False,2.59441e-06,50.9
38,63,0.935897,16,gelu,0.354502,['ring'],1.55199,0.000383001,11,False,2.26991e-07,14.6
39,64,0.935897,16,gelu,0.610291,['ring'],0.923126,0.000158642,21,False,5.387e-08,50.3
40,67,0.935897,16,gelu,0.556663,['vertical'],4.71527,0.000285935,81,True,4.46312e-07,50.3
41,71,0.935897,16,gelu,0.631288,['ring'],0.701724,9.79468e-05,91,False,3.8969e-07,49.7
42,72,0.935897,16,gelu,0.671712,['ring'],1.02625,0.000162538,81,False,6.79058e-07,49.6
43,73,0.935897,16,gelu,0.633611,['ring'],0.812489,0.000105199,86,False,2.04612e-07,50.6
44,77,0.935897,32,gelu,0.515439,['ring'],0.0421614,0.000604697,46,False,1.66495e-08,33.6
45,78,0.935897,16,relu,0.599831,['horizontal'],1.31936,0.00100678,96,False,5.52087e-07,50.6
46,84,0.935897,16,gelu,0.643057,['ring'],0.0423628,0.000132296,86,False,5.12717e-07,49.6
47,88,0.935897,16,gelu,0.571044,['ring'],0.731526,0.000303776,96,True,9.31887e-07,50.2
48,91,0.935897,16,gelu,0.538598,['ring'],1.96778,0.000186785,76,False,1.75517e-07,50.5
49,92,0.935897,16,gelu,0.517114,['ring'],1.45601,0.000134213,81,False,3.46605e-07,49.7
50,99,0.935897,16,gelu,0.583519,['ring'],1.33111,8.69243e-05,26,False,9.76109e-08,49.7
51,102,0.935897,16,gelu,0.354124,['ring'],0.275951,0.000353002,86,False,5.59648e-06,49.8
52,114,0.935897,16,gelu,0.382732,['ring'],2.62454,0.000361652,11,False,1.28723e-07,14.5
53,119,0.935897,16,gelu,0.328416,['ring'],2.39405,0.000209271,91,False,1.07359e-05,49.9
54,122,0.935897,16,gelu,0.590964,['ring'],0.578855,0.00014804,26,False,5.79504e-08,50.9
55,127,0.935897,16,gelu,0.665708,['ring'],1.00285,0.000363314,11,False,3.76903e-07,42.8
56,131,0.935897,16,gelu,0.560154,['vertical'],4.6707,0.000287071,81,True,8.21424e-07,50.1
57,133,0.935897,16,gelu,0.508115,['vertical'],4.45734,0.00051437,86,True,5.40162e-07,50.5
58,137,0.935897,32,gelu,0.545118,['vertical'],3.90265,0.000696869,71,True,3.18054e-07,40.4
59,144,0.935897,16,relu,0.479322,['vertical'],3.2952,0.00114056,71,True,7.41533e-07,50.1
60,148,0.935897,16,relu,0.529544,['vertical'],4.04578,0.000951851,76,True,1.84122e-06,50.3
61,149,0.935897,16,relu,0.487886,['vertical'],3.52818,0.000718524,66,True,1.53423e-06,49.8
62,156,0.935897,16,relu,0.531329,['vertical'],5.11647,0.000596972,71,True,1.17306e-06,49.3
63,159,0.935897,16,relu,0.495788,['vertical'],4.71991,0.000443865,76,True,1.49349e-06,49.5
64,166,0.935897,64,relu,0.504634,['vertical'],4.17528,0.00396012,71,True,1.04385e-06,36.2
65,167,0.935897,64,relu,0.547919,['vertical'],4.87626,0.000935527,61,True,1.55088e-06,36.5
66,170,0.935897,64,relu,0.485612,['vertical'],4.56641,0.000803192,71,True,9.42536e-07,35.7
67,173,0.935897,64,relu,0.555303,['vertical'],4.02779,0.0011587,66,True,1.26898e-06,36.6
68,178,0.935897,64,relu,0.451538,['vertical'],3.92525,0.00148761,61,True,5.08814e-07,36.4
69,180,0.935897,64,relu,0.487516,['vertical'],5.00978,0.000529815,76,True,2.26166e-06,36.5
70,183,0.935897,64,relu,0.531116,['vertical'],3.78106,0.00150488,76,True,1.5179e-06,36.7
71,185,0.935897,64,relu,0.474867,['vertical'],3.44995,0.00105147,66,True,1.05269e-06,36.9
72,189,0.935897,64,relu,0.527383,['vertical'],5.41047,0.00175072,61,True,4.71861e-07,36.4
73,194,0.935897,64,relu,0.498631,['vertical'],4.8164,0.000749047,76,True,6.17556e-06,36.4
74,197,0.935897,64,relu,0.472301,['vertical'],4.55241,0.000563874,76,True,7.88943e-07,36.9
75,4,0.923077,16,gelu,0.539677,['kings'],1.19594,0.00113815,71,True,2.29654e-06,46.2
76,13,0.923077,16,relu,0.291623,['kings'],4.3813,0.000340038,41,True,1.12431e-06,34.4
77,15,0.923077,16,relu,0.324917,['grid'],1.35113,0.000304067,41,True,1.15512e-06,39.0
78,21,0.923077,16,relu,0.312818,['grid'],1.3113,0.000878229,41,True,9.31042e-07,36.9
79,24,0.923077,16,relu,0.49634,['ring'],3.19289,9.85681e-05,51,True,3.42204e-07,50.3
80,29,0.923077,32,gelu,0.3663,['horizontal'],2.71925,0.000879944,66,False,1.38886e-07,42.1
81,36,0.923077,16,gelu,0.4162,['ring'],0.518844,0.000184795,76,False,2.52779e-07,50.5
82,40,0.923077,16,gelu,0.421654,['vertical'],3.86528,0.000551407,91,False,2.77827e-08,50.8
83,49,0.923077,64,gelu,0.59609,['ring'],5.27156,0.000126262,96,False,9.81665e-08,36.3
84,52,0.923077,16,gelu,0.606733,['ring'],1.55788,0.000409784,86,False,7.28234e-07,50.8
85,53,0.923077,16,gelu,0.68207,['ring'],0.875511,0.00213699,91,False,1.72199e-06,49.8
86,58,0.923077,16,gelu,0.441934,['horizontal'],3.24484,0.000109764,31,False,0.00047619,50.0
87,85,0.923077,16,gelu,0.623404,['grid'],7.56485,0.000738764,71,False,2.61545e-07,50.0
88,94,0.923077,16,gelu,0.59934,['kings'],1.73551,0.000176911,86,False,2.25713e-05,50.3
89,95,0.923077,16,gelu,0.525343,['ring'],0.854336,0.000284796,76,False,1.45147e-07,51.0
90,98,0.923077,16,gelu,0.555544,['ring'],2.75107,0.000135283,96,True,4.04337e-07,49.9
91,104,0.923077,16,gelu,0.288658,['ring'],0.683053,0.000301844,96,False,4.69013e-07,51.7
92,110,0.923077,32,gelu,0.369285,['ring'],0.22381,0.000154725,81,False,2.63388e-06,40.9
93,111,0.923077,16,gelu,0.339579,['ring'],1.48003,0.000642421,6,False,2.2032e-07,9.2
94,113,0.923077,16,gelu,0.358415,['grid'],0.884884,0.00172361,6,False,4.50447e-07,10.5
95,123,0.923077,16,gelu,0.406101,['ring'],1.58985,0.00025174,16,False,3.38318e-08,23.6
96,129,0.923077,64,gelu,0.68067,['ring'],3.66925,0.00019601,96,False,1.09065e-07,36.8
