source,dim,acc,auc,auc_std
raw,784,0.7756,0.7888,0.0
poly2_45,3645,0.7372,0.7876,0.0
random_45,3645,0.7513,0.7843,0.0067
rff_45,3645,0.7615,0.7923,0.0123
random_180,14580,0.7218,0.7654,0.0052
rff_180,14580,0.741,0.7951,0.0096
