head,source,seed,val_acc,val_loss,test_acc,test_auc,test_f1
linear,analog_zz_4k,0,0.9637404680252075,0.09176060557365417,0.8397435897435898,0.9357549857549858,0.8108173659956343
linear,analog_zz_4k,1,0.9599236845970154,0.09170052409172058,0.8397435897435898,0.9355741836511067,0.8113732270897065
linear,analog_zz_4k,2,0.9599236845970154,0.09248629212379456,0.844551282051282,0.9346592154284462,0.8172987820522495
linear,analog_zz_4k,3,0.9561068415641785,0.09217613935470581,0.8461538461538461,0.9364891518737672,0.8194444444444444
linear,analog_zz_4k,4,0.9637404680252075,0.09091740101575851,0.8461538461538461,0.9347687924611002,0.8199632136374019
linear,analog_zz_4k,5,0.9618320465087891,0.09075089544057846,0.8461538461538461,0.9353440718825333,0.8194444444444444
linear,analog_zz_4k,6,0.9580152630805969,0.09179572761058807,0.844551282051282,0.9348948060486522,0.8178266692751051
linear,analog_zz_4k,7,0.9599236845970154,0.09142255783081055,0.8317307692307693,0.9331963620425159,0.801063303284338
linear,analog_zz_4k,8,0.9561068415641785,0.09052858501672745,0.8509615384615384,0.9359193513039666,0.8253389715730388
linear,analog_zz_4k,9,0.9599236845970154,0.09061766415834427,0.842948717948718,0.9348564540872233,0.8151457625479124
mlp1,analog_zz_4k,0,0.9541984796524048,0.0917963907122612,0.842948717948718,0.9387628753013368,0.8140485312899106
mlp1,analog_zz_4k,1,0.9656488299369812,0.09000030905008316,0.8573717948717948,0.9400449265833881,0.8351729562081707
mlp1,analog_zz_4k,2,0.9599236845970154,0.09314003586769104,0.8477564102564102,0.9420775805391189,0.8220925730851993
mlp1,analog_zz_4k,3,0.9599236845970154,0.08985979110002518,0.8525641025641025,0.9433815472277011,0.8269675925925926
mlp1,analog_zz_4k,4,0.9580152630805969,0.08830603957176208,0.8573717948717948,0.9381875958799035,0.835617898042605
mlp1,analog_zz_4k,5,0.9618320465087891,0.08742101490497589,0.8477564102564102,0.939595660749507,0.8215828204240718
mlp1,analog_zz_4k,6,0.9561068415641785,0.09101821482181549,0.8557692307692307,0.9445375849222003,0.8316950371613523
mlp1,analog_zz_4k,7,0.9675572514533997,0.08349720388650894,0.8365384615384616,0.9412502739425817,0.8052839608903682
mlp1,analog_zz_4k,8,0.9580152630805969,0.08825552463531494,0.8525641025641025,0.9415735261889108,0.8274647464025102
mlp1,analog_zz_4k,9,0.9599236845970154,0.09167266637086868,0.8637820512820513,0.9347961867192637,0.8430058576811397
mlp2,analog_zz_4k,0,0.9618320465087891,0.08784323930740356,0.8397435897435898,0.9438253342099496,0.8124616808722935
mlp2,analog_zz_4k,1,0.9580152630805969,0.08597753196954727,0.8493589743589743,0.9427569581415736,0.8232060185185186
mlp2,analog_zz_4k,2,0.9713740348815918,0.08459457755088806,0.844551282051282,0.9445540214770984,0.8178266692751051
mlp2,analog_zz_4k,3,0.9713740348815918,0.08060513436794281,0.8509615384615384,0.9463346482577251,0.8253389715730388
mlp2,analog_zz_4k,4,0.9713740348815918,0.08213673532009125,0.8525641025641025,0.9409051062897218,0.8293845623462
mlp2,analog_zz_4k,5,0.9751908183097839,0.07881998270750046,0.8477564102564102,0.9459292132369056,0.8205414634589361
mlp2,analog_zz_4k,6,0.9618320465087891,0.08403980731964111,0.842948717948718,0.9472112645189569,0.8151457625479124
mlp2,analog_zz_4k,7,0.9637404680252075,0.08207995444536209,0.8301282051282052,0.9352838045145738,0.7970245986154073
mlp2,analog_zz_4k,8,0.9599236845970154,0.08929967135190964,0.8365384615384616,0.9431623931623931,0.8046840477242598
mlp2,analog_zz_4k,9,0.9637404680252075,0.08860214054584503,0.8317307692307693,0.9386642559719484,0.8016510911914558
cnn_small,analog_zz_4k,0,0.9694656729698181,0.07590723037719727,0.8685897435897436,0.9509094893710279,0.849546593274761
cnn_small,analog_zz_4k,1,0.9618320465087891,0.08530084043741226,0.8397435897435898,0.9467236467236467,0.8096818270544603
cnn_small,analog_zz_4k,2,0.9637404680252075,0.07101254165172577,0.8573717948717948,0.9417543282927897,0.8347216642114191
cnn_small,analog_zz_4k,3,0.9694656729698181,0.07412918657064438,0.8541666666666666,0.9525312294543063,0.8319239182233378
cnn_small,analog_zz_4k,4,0.9713740348815918,0.07172315567731857,0.844551282051282,0.9459182555336403,0.8156696622985866
cnn_small,analog_zz_4k,5,0.9618320465087891,0.07925738394260406,0.8525641025641025,0.9508327854481701,0.8259519767159835
cnn_small,analog_zz_4k,6,0.9694656729698181,0.08345131576061249,0.8397435897435898,0.9510793337716414,0.8091019224415374
cnn_small,analog_zz_4k,7,0.9751908183097839,0.07269905507564545,0.8493589743589743,0.9553692746000438,0.8232060185185186
cnn_small,analog_zz_4k,8,0.9618320465087891,0.08731279522180557,0.8333333333333334,0.9500821827744905,0.7983193277310925
cnn_small,analog_zz_4k,9,0.9637404680252075,0.08419481664896011,0.8477564102564102,0.9478413324567172,0.8189232531500573
cnn_large,analog_zz_4k,0,0.9751908183097839,0.07207024097442627,0.8493589743589743,0.9576484768792461,0.8216383871556285
cnn_large,analog_zz_4k,1,0.9694656729698181,0.06766145676374435,0.842948717948718,0.9584593469208853,0.8117589115311211
cnn_large,analog_zz_4k,2,0.9770992398262024,0.06227686256170273,0.8557692307692307,0.9527394258163491,0.8302359043807359
cnn_large,analog_zz_4k,3,0.9713740348815918,0.06762063503265381,0.8589743589743589,0.955637738330046,0.8335192820761581
cnn_large,analog_zz_4k,4,0.9694656729698181,0.0623767152428627,0.8621794871794872,0.9571608590839359,0.8400724775891666
cnn_large,analog_zz_4k,5,0.9694656729698181,0.06365007162094116,0.8701923076923077,0.9590236686390533,0.848739043127209
cnn_large,analog_zz_4k,6,0.9770992398262024,0.05067833140492439,0.8557692307692307,0.9598016655708963,0.8302359043807359
cnn_large,analog_zz_4k,7,0.9770992398262024,0.06609802693128586,0.8589743589743589,0.9555665132588209,0.8335192820761581
cnn_large,analog_zz_4k,8,0.9694656729698181,0.07089250534772873,0.8701923076923077,0.9613193074731536,0.8491615610274347
cnn_large,analog_zz_4k,9,0.9790076613426208,0.06156804785132408,0.8493589743589743,0.9531941705018628,0.8211009174311927
