rank,trial,value,dataset.batch_size,model.activation,model.dropout,model.kernel_topology_names,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
182,87,0.956107,16,relu,0.617,"['grid', 'chain', 'horizontal', 'kings']",4.72066,0.000558355,6,True,5.23493e-06,37.0
183,10,0.952290,16,relu,0.0108069,"['grid', 'chain', 'horizontal', 'star']",6.66972,0.00191315,96,False,0.000704183,166.2
184,13,0.952290,16,gelu,0.142462,"['grid', 'chain', 'horizontal', 'star']",2.20177,0.00402364,6,False,0.000259,27.3
185,2,0.946565,64,gelu,0.463766,"['grid', 'chain', 'horizontal', 'kings']",4.95177,3.22415e-06,1,True,4.0756e-08,72.0
186,30,0.946565,32,relu,0.0483299,"['grid', 'chain', 'horizontal', 'vertical']",1.09121,6.64361e-07,51,False,4.52732e-08,124.7
187,70,0.940840,64,relu,0.679532,"['grid', 'chain', 'horizontal', 'vertical']",3.41321,8.79708e-06,31,True,1.25292e-06,102.4
188,69,0.937023,32,relu,0.120392,"['grid', 'chain', 'horizontal', 'star']",4.58361,3.5744e-07,11,False,1.57433e-07,122.2
189,39,0.935115,64,relu,0.639273,"['grid', 'chain', 'horizontal', 'kings']",5.45836,3.82161e-06,36,True,4.70527e-08,97.9
190,8,0.933206,16,gelu,0.351875,"['grid', 'chain', 'horizontal', 'ring']",3.00878,2.72207e-07,26,False,3.06367e-06,174.7
191,45,0.931298,64,relu,0.620268,"['grid', 'chain', 'horizontal', 'star']",4.30716,1.97966e-06,16,True,1.75185e-05,98.3
192,1,0.916031,64,gelu,0.41469,"['grid', 'chain', 'horizontal', 'ring']",4.5607,4.623e-07,76,False,6.78905e-07,101.1
193,7,0.896947,32,relu,0.292188,"['grid', 'chain', 'horizontal', 'cross']",8.18015,1.99065e-07,86,False,1.36628e-06,124.2
194,59,0.824427,32,relu,0.0460564,"['grid', 'chain', 'horizontal', 'vertical']",9.97903,9.43764e-08,6,False,5.17386e-05,127.8
195,9,0.814885,64,relu,0.0632028,"['grid', 'chain', 'horizontal', 'vertical']",3.67783,2.26094e-07,61,True,4.37604e-05,92.8
196,148,0.799618,16,relu,0.0357899,"['grid', 'chain', 'horizontal', 'vertical']",4.10137,2.70637e-08,21,False,2.45646e-06,170.0
197,26,0.683206,32,relu,0.23433,"['grid', 'chain', 'horizontal', 'vertical']",4.35422,1.00345e-08,36,True,1.03881e-06,125.4
198,0,0.322519,64,relu,0.678937,"['grid', 'chain', 'horizontal', 'vertical']",8.66176,7.74476e-08,61,True,1.95172e-08,97.4
199,5,0.274809,64,relu,0.365913,"['grid', 'chain', 'horizontal', 'ring']",7.60785,4.80357e-08,56,True,3.68319e-05,97.7
200,3,0.267176,64,relu,0.580116,"['grid', 'chain', 'horizontal', 'vertical']",0.452273,3.19386e-08,31,True,9.54804e-08,97.4
