rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,8,0.884615,64,gelu,0.220049,0.254191,9.52881e-06,20,False,1.37311e-06,37.1
2,22,0.884615,64,gelu,0.491863,5.39605,3.09865e-05,15,True,5.60317e-06,38.0
3,61,0.884615,64,gelu,0.38314,4.05801,1.95864e-05,20,True,0.000167333,38.1
4,62,0.884615,64,gelu,0.321328,3.95737,1.59087e-05,45,True,0.000204122,37.8
5,81,0.884615,64,gelu,0.378872,4.17626,1.93949e-05,20,True,4.31109e-05,38.5
6,82,0.884615,64,gelu,0.380243,4.76909,1.93595e-05,15,True,0.000245949,38.1
7,83,0.884615,64,gelu,0.381603,4.7454,2.06522e-05,15,True,0.000278892,37.7
8,84,0.884615,64,gelu,0.384277,4.76562,2.13227e-05,15,True,0.000283071,37.6
9,87,0.884615,64,gelu,0.426651,4.4433,2.0837e-05,15,True,0.000141774,37.7
10,96,0.884615,64,gelu,0.428749,4.83545,2.18003e-05,10,True,0.000974245,38.0
11,99,0.884615,64,gelu,0.342659,5.20944,9.68204e-06,25,False,0.000173491,38.2
12,12,0.871795,64,gelu,0.553585,4.4836,2.88619e-05,95,True,4.9059e-06,36.7
13,14,0.871795,64,gelu,0.53673,4.97085,2.10763e-05,10,True,2.07507e-05,37.6
14,21,0.871795,64,gelu,0.546758,5.60468,1.8382e-05,10,True,1.25112e-05,37.8
15,26,0.871795,64,gelu,0.272948,1.13586,0.000528535,35,True,7.53905e-06,17.6
16,27,0.871795,64,gelu,0.36947,4.05414,1.27361e-05,20,True,3.82321e-05,38.1
17,31,0.871795,64,gelu,0.528812,5.00219,2.06666e-05,15,True,2.67613e-05,37.5
18,38,0.871795,32,gelu,0.00186757,6.58519,5.67351e-05,80,False,6.98743e-06,44.5
19,41,0.871795,64,gelu,0.543008,5.6293,2.61973e-05,10,True,1.41661e-05,37.7
20,46,0.871795,64,gelu,0.289264,0.982088,2.12095e-05,100,False,7.35651e-08,38.6
21,47,0.871795,32,relu,0.152381,3.68972,0.000199424,70,True,2.11899e-05,33.9
22,51,0.871795,64,gelu,0.278316,0.576642,0.00056347,35,True,5.81858e-06,16.6
23,55,0.871795,64,gelu,0.670004,0.703499,7.48391e-05,15,True,1.82125e-06,37.2
24,63,0.871795,64,gelu,0.388774,3.9524,1.454e-05,15,True,0.000662582,38.2
25,66,0.871795,64,gelu,0.542456,5.6655,1.84776e-05,70,True,0.000454173,37.2
