rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,41,0.923077,32,relu,0.606901,0.386672,0.00058444,35,True,1.04796e-08,42.9
2,42,0.923077,32,relu,0.598903,0.13473,0.00146476,30,True,9.06502e-08,43.2
3,58,0.923077,64,relu,0.533116,1.36896,0.0015336,65,True,7.52583e-06,38.1
4,80,0.923077,32,relu,0.500038,2.15679,0.00214903,30,True,8.22071e-06,41.6
5,114,0.923077,64,relu,0.273774,2.30014,0.000668318,30,True,3.06199e-06,28.5
6,158,0.923077,64,relu,0.442849,0.843064,0.000958356,85,True,3.39004e-08,38.6
7,181,0.923077,64,relu,0.607579,3.32168,0.000318672,50,True,2.03e-08,37.4
8,183,0.923077,64,relu,0.609153,3.26912,0.00040688,50,True,1.13501e-08,37.9
9,21,0.910256,16,gelu,0.505621,3.5853,4.60364e-05,40,False,5.73633e-06,50.9
10,29,0.910256,64,relu,0.619668,0.715572,0.000668525,65,True,6.3807e-06,36.9
11,31,0.910256,64,relu,0.643754,3.22078,0.0016448,95,True,6.86428e-06,37.6
12,32,0.910256,64,relu,0.601007,1.0659,0.00068286,75,True,4.94875e-06,37.7
13,38,0.910256,32,relu,0.607314,0.607941,0.0004182,35,True,1.3781e-07,42.7
14,53,0.910256,32,relu,0.608483,1.98653,0.000613095,45,True,7.49367e-07,43.0
15,62,0.910256,64,relu,0.622443,3.4371,0.00101145,95,True,1.31607e-05,37.6
16,70,0.910256,64,relu,0.0741786,2.5997,0.000137213,65,True,2.42944e-07,38.4
17,97,0.910256,64,gelu,0.602365,2.52989,0.00134046,55,True,7.79907e-08,37.4
18,99,0.910256,64,relu,0.53565,0.572659,0.000250041,75,True,6.47055e-06,37.5
19,115,0.910256,64,relu,0.22606,1.35061,0.000752564,25,True,3.1456e-06,21.9
20,120,0.910256,64,relu,0.610252,2.38417,0.000632118,35,True,2.12739e-05,38.1
21,123,0.910256,64,relu,0.614228,3.31904,0.000305177,55,True,1.41855e-08,38.3
22,124,0.910256,64,relu,0.0844934,2.5302,0.000961591,40,True,2.7595e-07,30.6
23,130,0.910256,32,relu,0.297525,9.34231,0.00320705,70,True,1.62545e-07,42.1
24,135,0.910256,64,gelu,0.510641,2.7784,0.00165594,80,True,6.70981e-08,37.7
25,136,0.910256,64,relu,0.63505,3.64677,0.00110722,75,True,5.75945e-06,38.3
26,140,0.910256,64,relu,0.572552,0.893484,0.000564306,45,True,4.2692e-06,38.5
27,142,0.910256,64,relu,0.530787,0.598622,0.00028326,35,True,5.55961e-06,38.4
28,151,0.910256,64,relu,0.233042,1.28885,0.000799407,25,True,3.67558e-06,29.1
29,153,0.910256,64,relu,0.311845,0.698084,0.00103496,25,True,3.33196e-06,23.3
30,155,0.910256,64,relu,0.356644,1.97946,0.000511932,65,True,1.0265e-08,39.1
31,156,0.910256,32,relu,0.575687,1.80845,0.00136649,55,True,4.70651e-06,43.6
32,157,0.910256,64,relu,0.609818,1.05349,0.000265263,35,True,2.51507e-06,38.7
33,159,0.910256,32,relu,0.442293,0.848669,0.00274648,95,True,1.99045e-08,43.7
34,160,0.910256,64,relu,0.51827,0.369589,0.00183093,75,True,3.97618e-08,38.8
35,164,0.910256,64,relu,0.214237,3.39635,0.000422371,40,True,5.60371e-08,34.2
36,165,0.910256,64,relu,0.600552,1.58035,0.000589926,30,True,5.48265e-06,38.3
37,167,0.910256,64,relu,0.411971,0.181954,0.000104032,80,True,8.45995e-06,38.3
38,174,0.910256,64,relu,0.615207,2.52505,0.000777208,40,True,7.0921e-06,38.8
39,194,0.910256,64,relu,0.620133,3.29936,0.000559762,40,True,1.3281e-08,38.4
40,195,0.910256,64,relu,0.607062,2.07485,0.000231468,45,True,2.55729e-07,38.6
41,197,0.910256,64,relu,0.561533,4.01278,0.00074819,95,True,3.47511e-07,37.4
42,10,0.897436,64,gelu,0.635365,4.29977,0.00237353,95,False,6.85045e-06,36.6
43,11,0.897436,64,gelu,0.647479,4.21263,0.00329748,95,False,1.04982e-05,37.0
44,19,0.897436,16,gelu,0.518332,3.56624,3.63027e-05,10,False,5.52977e-06,45.5
45,26,0.897436,64,gelu,0.697181,5.44512,0.000528535,80,False,6.36445e-07,37.7
46,30,0.897436,64,relu,0.535332,0.272942,0.000414006,65,True,0.000237132,37.8
47,33,0.897436,64,relu,0.592348,0.966349,0.00071313,75,True,2.61759e-06,38.0
48,49,0.897436,32,relu,0.620792,0.0598304,0.000171319,25,True,3.96531e-08,42.5
49,56,0.897436,16,relu,0.638656,0.386989,0.000101364,75,True,1.20617e-06,52.2
50,59,0.897436,16,relu,0.518944,1.73057,0.00171983,50,True,9.4728e-06,48.1
51,60,0.897436,64,relu,0.46671,3.95157,0.000246468,40,True,2.95204e-05,37.2
52,61,0.897436,64,relu,0.547739,1.39653,0.000493263,65,True,3.92668e-06,37.5
53,64,0.897436,64,relu,0.5001,5.14804,0.00114478,25,True,2.0055e-05,37.2
54,72,0.897436,32,relu,0.591324,0.582484,0.000344688,35,True,2.16288e-08,43.0
55,74,0.897436,32,relu,0.607653,0.431163,0.00159472,30,True,9.46097e-08,43.0
56,79,0.897436,16,gelu,0.628843,1.1155,0.00384937,40,True,1.72048e-06,50.5
57,83,0.897436,32,relu,0.535462,2.76289,0.00146301,35,True,1.3455e-05,44.9
58,94,0.897436,32,relu,0.608766,0.936538,0.000975692,100,True,1.98713e-05,44.1
59,112,0.897436,64,relu,0.101763,2.62453,0.000992738,60,True,1.26424e-07,30.0
60,122,0.897436,64,relu,0.0361803,1.96378,5.06491e-05,30,True,1.44628e-05,38.8
61,129,0.897436,64,relu,0.475377,1.71294,0.00013625,20,True,7.40417e-08,36.8
62,131,0.897436,64,gelu,0.681106,2.58129,0.00118062,30,True,8.51173e-08,38.3
63,132,0.897436,64,gelu,0.599993,2.38882,0.00142184,50,True,1.07194e-07,38.0
64,133,0.897436,64,gelu,0.588215,2.91535,0.000646798,60,True,2.08765e-07,37.5
65,134,0.897436,64,gelu,0.619824,1.27473,0.00037375,55,True,6.71085e-07,38.1
66,143,0.897436,64,relu,0.492504,0.375285,0.000341319,80,True,1.07784e-05,38.6
