rank,trial,value,dataset.batch_size,model.activation,model.dropout,model.kernel_topology_names,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
132,88,0.971374,32,relu,0.3632,['cross'],3.57575,0.00198356,51,False,2.88744e-07,60.0
133,108,0.971374,32,relu,0.505144,['cross'],3.79607,0.000131566,71,True,1.00546e-05,83.0
134,170,0.971374,32,relu,0.394278,['star'],3.14516,0.000390516,71,True,3.27404e-06,87.1
135,183,0.971374,32,relu,0.325563,['cross'],1.92185,0.000800973,26,True,1.41222e-07,37.5
136,199,0.971374,32,relu,0.314402,['cross'],3.79185,0.00119918,76,True,6.27325e-06,86.5
137,13,0.969466,16,relu,0.565138,['kings'],2.35294,0.000273521,51,False,1.11903e-06,217.1
138,19,0.969466,64,gelu,0.261076,['star'],1.47765,7.77689e-05,36,True,0.00012097,234.6
139,44,0.969466,32,relu,0.471809,['chain'],5.64022,0.00177896,81,True,1.71741e-07,83.9
140,57,0.969466,32,relu,0.372674,['grid'],4.78818,0.000673518,56,True,2.08064e-06,67.1
141,116,0.969466,32,relu,0.282183,['kings'],3.61088,0.000217169,66,True,1.30518e-06,81.6
142,124,0.969466,32,relu,0.441656,['cross'],2.96423,8.33422e-05,76,True,3.02376e-06,86.6
143,139,0.969466,32,relu,0.399026,['grid'],7.70517,0.000569382,76,True,1.54177e-06,83.9
144,178,0.969466,32,relu,0.267318,['grid'],2.71458,0.000130816,61,True,1.27208e-06,86.7
145,180,0.969466,16,relu,0.4255,['chain'],3.23668,0.000171858,61,True,1.01795e-06,117.9
146,189,0.969466,32,relu,0.278199,['vertical'],3.36935,0.000863571,71,True,2.86088e-06,67.9
147,14,0.967557,64,gelu,0.321975,['grid'],6.02839,0.000234273,66,False,0.000433075,117.9
148,30,0.967557,32,relu,0.32952,['cross'],4.36095,0.00428215,91,True,4.07426e-06,84.2
149,32,0.967557,32,relu,0.298824,['cross'],5.07978,0.0017362,86,True,2.58846e-05,80.1
150,39,0.967557,64,relu,0.645173,['horizontal'],4.26883,0.0016689,91,True,2.99122e-07,59.8
151,62,0.967557,32,relu,0.311689,['cross'],3.9662,0.00275136,71,True,2.91636e-06,83.4
152,77,0.967557,64,relu,0.352193,['horizontal'],4.25859,0.000491672,66,False,1.35167e-06,64.5
153,84,0.967557,32,relu,0.324979,['grid'],4.56543,0.000367443,56,True,5.2198e-06,72.1
154,89,0.967557,32,relu,0.43122,['vertical'],2.60529,0.000983215,86,True,8.1918e-08,87.0
155,146,0.967557,32,relu,0.43376,['chain'],2.69767,0.000221234,76,True,9.26929e-08,84.3
156,1,0.965649,32,relu,0.675942,['chain'],6.07545,2.37768e-05,16,False,1.70707e-08,137.4
157,16,0.965649,16,gelu,0.340872,['kings'],1.54724,0.000116745,36,True,1.15633e-05,347.7
158,25,0.965649,32,relu,0.47459,['cross'],4.88085,8.58385e-05,81,True,2.68138e-06,81.8
159,42,0.965649,32,relu,0.400046,['ring'],5.45209,0.00052281,61,True,3.51834e-07,88.2
160,104,0.965649,32,relu,0.395262,['horizontal'],4.65157,0.000101951,81,True,1.05386e-06,84.7
161,187,0.965649,32,relu,0.341516,['kings'],6.33096,0.000267158,56,True,2.16691e-06,69.7
162,12,0.963740,32,relu,0.556249,['kings'],4.69172,0.00300552,46,False,7.12881e-07,116.1
163,48,0.963740,64,relu,0.28791,['grid'],9.54512,0.000146883,71,True,1.80734e-08,60.6
164,50,0.963740,32,gelu,0.389478,['ring'],2.6708,0.00113412,6,False,4.28108e-07,12.9
165,68,0.963740,32,gelu,0.453519,['kings'],3.69489,0.00310765,91,True,2.03292e-05,86.2
166,27,0.961832,32,relu,0.370179,['cross'],4.10609,4.10053e-05,91,True,3.06232e-07,149.1
167,109,0.961832,32,relu,0.401682,['chain'],4.1098,0.00229908,66,True,4.24564e-06,86.2
168,128,0.961832,32,relu,0.412272,['ring'],3.28444,0.000235327,71,True,4.49943e-06,89.7
169,134,0.961832,32,relu,0.362475,['cross'],6.31295,3.74347e-05,66,True,2.6793e-06,87.6
170,160,0.961832,32,relu,0.369269,['ring'],3.20366,0.00016147,71,True,1.8045e-06,89.5
171,33,0.959924,32,relu,0.495378,['cross'],3.49745,3.8364e-05,76,True,5.39981e-06,81.8
172,140,0.959924,32,gelu,0.46308,['cross'],2.46001,0.000377599,1,True,3.09656e-06,7.3
173,0,0.958015,16,gelu,0.127277,['horizontal'],0.205845,2.66524e-05,96,True,3.47027e-05,217.2
174,10,0.958015,16,relu,0.0109164,['star'],2.49625,0.00206066,61,True,9.94434e-05,149.7
175,36,0.958015,32,relu,0.461837,['chain'],0.776919,2.46049e-05,66,True,3.84672e-08,83.0
176,46,0.958015,32,relu,0.312427,['vertical'],4.59899,5.09776e-05,61,True,6.75023e-08,80.7
177,47,0.958015,32,gelu,0.50515,['star'],4.02613,1.13124e-05,76,False,1.03238e-06,87.4
178,60,0.958015,64,relu,0.42953,['chain'],5.4836,5.97264e-05,86,True,4.87419e-07,62.6
179,86,0.958015,32,gelu,0.283932,['chain'],3.26087,7.23375e-05,66,True,2.7143e-05,85.4
180,9,0.956107,16,gelu,0.237321,['vertical'],0.931028,1.04343e-05,86,True,1.61905e-07,214.2
181,75,0.956107,32,relu,0.0315941,['ring'],3.14406,0.000445367,71,True,7.4378e-06,70.0
182,83,0.956107,32,relu,0.357128,['cross'],3.87078,1.6173e-05,51,True,2.97693e-06,84.8
183,2,0.944656,64,relu,0.41853,['cross'],9.69585,1.30523e-05,76,True,8.39986e-08,100.6
184,150,0.944656,16,relu,0.445467,['vertical'],3.16966,7.80889e-06,81,True,3.60735e-07,132.3
185,29,0.927481,32,relu,0.113944,['horizontal'],7.42215,3.37346e-06,96,True,5.56868e-07,82.5
186,80,0.923664,32,relu,0.468997,['star'],5.81431,4.67159e-06,76,True,7.07406e-07,87.1
187,149,0.912214,32,relu,0.372395,['kings'],3.3204,1.33759e-06,71,False,0.00014137,85.3
188,17,0.891221,32,relu,0.522808,['ring'],3.60776,3.06144e-06,71,True,7.11429e-08,328.1
189,18,0.849237,16,relu,0.608702,['grid'],0.00316601,1.13632e-06,56,True,7.67326e-07,458.0
190,5,0.742366,32,relu,0.443383,['ring'],2.89751,2.01332e-07,16,True,2.42605e-08,133.6
191,38,0.742366,32,relu,0.515142,['vertical'],2.16104,6.12445e-07,56,True,1.02823e-07,81.5
192,40,0.742366,32,relu,0.211762,['cross'],1.90347,1.1317e-07,76,False,2.63653e-08,81.0
193,90,0.742366,64,relu,0.228025,['cross'],4.00048,6.48674e-07,56,True,1.51166e-05,60.4
194,3,0.740458,32,gelu,0.4948,['vertical'],7.72245,2.65988e-08,16,False,0.000859874,140.5
195,78,0.738550,32,relu,0.381336,['cross'],5.33363,6.12242e-08,26,True,1.07225e-07,84.8
196,7,0.688931,16,gelu,0.689955,['kings'],9.08266,1.96506e-08,21,False,2.47305e-07,211.4
197,198,0.679389,64,relu,0.367114,['cross'],3.18095,1.81656e-07,71,True,3.80177e-06,62.1
198,8,0.625954,32,gelu,0.451621,['chain'],6.77564,1.70756e-08,1,True,9.00461e-06,5.6
199,194,0.515267,32,relu,0.373128,['cross'],3.63674,1.32779e-08,66,True,4.96867e-06,88.5
200,6,0.324427,64,gelu,0.660037,['horizontal'],4.17411,1.09552e-08,21,False,3.57879e-06,108.6
