rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
152,162,0.967557,16,gelu,0.384665,7.12992,5.34635e-05,50,True,0.000529112,176.3
153,167,0.967557,16,gelu,0.651897,6.62489,3.96281e-05,65,True,0.000382836,175.9
154,187,0.967557,16,gelu,0.302304,8.59407,0.000295677,75,True,7.56186e-05,158.7
155,196,0.967557,16,gelu,0.421151,9.38063,0.00124033,70,True,0.000865391,199.5
156,16,0.965649,64,gelu,0.684087,3.56936,5.96575e-05,40,False,2.44784e-05,80.9
157,47,0.965649,32,gelu,0.679875,1.50505,0.00075221,80,False,1.30331e-06,110.8
158,54,0.965649,16,gelu,0.17897,0.415616,3.42628e-05,20,True,2.15995e-05,160.1
159,78,0.965649,16,relu,0.314029,9.69752,0.000553746,40,True,3.6277e-07,89.9
160,129,0.965649,16,gelu,0.529105,9.54121,0.00080893,55,True,1.52841e-06,127.5
161,193,0.965649,16,gelu,0.217669,8.31395,0.000231192,45,True,7.34492e-07,124.4
162,53,0.963740,16,gelu,0.214915,8.58615,0.000202683,25,True,4.80518e-06,78.8
163,83,0.963740,16,relu,0.385982,9.37723,0.00373738,80,True,5.12893e-07,159.8
164,113,0.963740,16,gelu,0.285316,6.99661,0.000453906,45,True,9.2946e-07,96.9
165,1,0.961832,64,gelu,0.302362,1.81825,0.00055471,25,False,1.15264e-07,40.7
166,15,0.961832,64,gelu,0.600174,4.8531,0.00494931,10,False,3.14445e-05,20.1
167,35,0.961832,16,relu,0.0412139,6.33465,0.00204563,25,False,1.47316e-05,52.2
168,107,0.961832,32,relu,0.342387,9.54733,0.00120682,35,True,2.60413e-06,50.4
169,178,0.961832,64,gelu,0.351194,7.92,0.000202378,60,True,0.00077764,85.4
170,8,0.959924,64,gelu,0.220049,0.254191,9.52881e-06,20,False,1.37311e-06,75.8
171,25,0.959924,16,gelu,0.281203,2.75706,0.00495386,15,False,0.000251265,62.7
172,34,0.959924,64,gelu,0.50996,2.16867,0.000926769,60,False,5.36166e-06,67.1
173,55,0.959924,16,gelu,0.273813,6.22488,1.34188e-05,40,True,2.01472e-06,166.3
174,95,0.959924,16,relu,0.292342,9.77534,0.00104504,65,True,2.28297e-06,140.5
175,180,0.959924,16,gelu,0.411037,8.15865,1.6496e-05,65,True,0.000502788,176.5
