rank,trial,value,dataset.batch_size,model.activation,model.dropout,model.kernel_topology_names,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,93,0.948718,64,relu,0.179995,['cross'],1.70349,0.000171802,91,True,1.72754e-08,23.3
2,24,0.935897,16,relu,0.0392187,['cross'],2.28119,0.000260784,56,True,2.05016e-05,30.1
3,34,0.935897,64,relu,0.148964,['cross'],1.02909,0.000380526,91,False,4.42122e-08,23.1
4,41,0.935897,64,relu,0.164261,['cross'],1.34897,0.000488613,76,True,3.11543e-07,23.0
5,46,0.935897,64,relu,0.0982792,['cross'],1.63188,0.000207068,76,True,1.33596e-07,23.3
6,52,0.935897,64,relu,0.2039,['cross'],1.01908,0.00018815,96,True,7.73822e-07,23.4
7,53,0.935897,64,relu,0.206412,['cross'],1.12336,0.000191479,96,True,1.6133e-07,23.5
8,55,0.935897,64,relu,0.200213,['cross'],1.80805,0.000177665,91,True,5.14387e-08,23.6
9,62,0.935897,64,relu,0.200606,['cross'],1.7611,0.000168411,56,True,6.66641e-08,23.4
10,63,0.935897,64,relu,0.150968,['cross'],1.02047,0.000311426,96,True,2.51849e-08,23.4
11,66,0.935897,64,relu,0.231635,['cross'],2.7769,0.000226745,91,True,4.67246e-08,23.6
12,72,0.935897,64,relu,0.194261,['cross'],1.60504,0.000265618,46,True,5.87874e-08,22.2
13,75,0.935897,16,relu,0.392578,['cross'],2.1402,0.000189102,56,True,1.28355e-07,40.1
14,81,0.935897,64,relu,0.139877,['cross'],0.816808,0.000278464,96,True,1.52356e-08,23.2
15,82,0.935897,64,relu,0.153782,['cross'],1.08614,0.000343167,96,True,2.76795e-08,23.4
16,84,0.935897,64,relu,0.163433,['cross'],1.60593,0.000198217,96,True,7.63943e-08,23.3
17,94,0.935897,64,relu,0.15389,['cross'],1.74269,0.00016773,96,True,1.16087e-07,23.1
18,95,0.935897,64,relu,0.18237,['cross'],0.565768,0.000352452,86,True,1.87785e-08,23.3
19,100,0.935897,64,relu,0.0454886,['ring'],0.947183,0.000536847,91,True,3.82429e-07,23.2
20,101,0.935897,64,relu,0.197972,['cross'],2.88068,0.000252039,91,True,4.19285e-08,23.3
21,102,0.935897,64,relu,0.242579,['cross'],2.21365,0.000230499,91,True,3.2539e-08,23.7
22,111,0.935897,64,relu,0.196777,['cross'],1.56238,0.000268145,46,True,2.23451e-08,22.0
23,112,0.935897,64,relu,0.189457,['cross'],1.27851,0.000289563,41,True,4.14853e-08,20.8
24,115,0.935897,64,relu,0.161923,['cross'],0.471478,0.000226489,46,True,1.15033e-05,23.3
25,122,0.935897,16,relu,0.39894,['cross'],2.03731,0.000221542,56,True,2.41799e-07,34.3
26,127,0.935897,64,relu,0.151108,['cross'],1.30039,0.000129337,56,False,3.99543e-08,27.7
27,130,0.935897,64,relu,0.196953,['ring'],9.31687,0.000340725,91,True,2.35339e-08,27.1
28,137,0.935897,64,relu,0.218514,['cross'],2.13787,0.000186537,96,True,4.75201e-08,26.9
29,141,0.935897,64,relu,0.143002,['cross'],1.09988,0.000360359,96,True,2.78108e-08,27.9
30,142,0.935897,64,relu,0.153929,['cross'],0.288143,0.000237349,96,True,2.67454e-08,27.6
