rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,165,0.948718,16,gelu,0.564932,2.26607,0.00121638,30,True,1.55191e-05,31.3
2,70,0.935897,16,gelu,0.586064,1.89951,0.000918197,20,True,2.62122e-05,37.8
3,92,0.935897,16,gelu,0.593786,1.31193,0.00205328,30,True,4.00679e-05,24.5
4,98,0.935897,16,gelu,0.550253,0.574498,0.000676059,30,True,4.47946e-05,26.4
5,103,0.935897,16,gelu,0.582402,0.592016,0.000998523,85,True,1.60814e-05,52.0
6,106,0.935897,16,gelu,0.57546,0.64444,0.00103015,30,True,4.23817e-06,32.5
7,108,0.935897,16,gelu,0.665448,0.634142,0.00041442,10,True,6.95783e-06,23.5
8,112,0.935897,16,gelu,0.630121,1.39291,0.000552388,15,True,2.31281e-05,32.4
9,121,0.935897,16,gelu,0.579754,0.844451,0.000860547,20,True,1.42395e-05,27.0
10,161,0.935897,16,gelu,0.572114,1.97613,0.00100974,25,True,0.000139995,33.2
11,169,0.935897,16,gelu,0.603732,7.33241,0.00262897,25,True,1.77288e-05,36.6
12,172,0.935897,16,gelu,0.589095,8.45947,0.00361655,30,True,2.98626e-05,41.0
13,49,0.923077,64,gelu,0.695438,0.409103,0.000371958,15,True,2.4362e-07,34.3
14,56,0.923077,16,gelu,0.633608,1.3521,0.000687181,15,True,8.04049e-06,42.1
15,62,0.923077,16,gelu,0.645635,0.359157,0.000483743,85,True,1.53328e-06,70.8
16,64,0.923077,16,gelu,0.644372,0.592465,0.000894688,20,True,1.40078e-05,57.4
17,66,0.923077,16,gelu,0.64693,1.57244,0.000520006,85,True,3.13471e-06,47.5
18,69,0.923077,16,gelu,0.579227,1.94488,0.000938182,20,True,2.99619e-05,31.9
19,72,0.923077,16,gelu,0.548062,1.11303,0.000991475,30,True,3.50434e-05,37.8
20,80,0.923077,16,gelu,0.587934,1.90352,0.000270268,85,True,6.79252e-05,39.0
21,81,0.923077,16,gelu,0.569714,1.92119,0.000964872,25,True,0.000153199,33.2
22,84,0.923077,16,gelu,0.58475,1.1085,0.00127419,95,True,6.88207e-05,41.3
23,86,0.923077,16,gelu,0.653051,1.93752,0.00015621,20,True,5.01391e-06,36.5
24,87,0.923077,16,gelu,0.677588,0.7434,0.000823435,90,True,2.91949e-05,41.5
25,91,0.923077,16,gelu,0.568724,1.93767,0.0013565,25,True,0.000163164,25.3
26,93,0.923077,16,gelu,0.591201,1.29243,0.00221754,35,True,1.88001e-05,34.5
27,96,0.923077,16,gelu,0.600445,1.18949,0.00207415,45,True,1.72694e-08,71.3
28,101,0.923077,16,gelu,0.51708,0.910144,0.000707856,25,True,7.53654e-05,29.7
29,105,0.923077,16,gelu,0.608403,0.482539,0.0006431,35,True,9.93984e-06,40.4
30,114,0.923077,16,gelu,0.668871,1.36083,0.000598513,15,True,1.26516e-05,29.5
31,118,0.923077,16,gelu,0.658985,1.0912,0.000522371,60,True,5.05709e-06,40.0
32,120,0.923077,16,gelu,0.624453,1.35928,0.000135333,90,True,6.15667e-07,40.7
33,122,0.923077,16,gelu,0.610555,0.804108,0.000774803,20,True,1.67068e-05,39.5
34,125,0.923077,16,gelu,0.640119,0.612944,0.00111388,20,True,9.22094e-06,36.9
35,127,0.923077,16,gelu,0.592497,0.193417,0.000632552,85,True,3.81833e-07,41.7
36,133,0.923077,16,gelu,0.629633,0.452061,0.0010642,15,True,6.54068e-08,26.5
37,134,0.923077,16,gelu,0.562945,5.09062,0.000415003,35,True,2.91366e-06,35.3
38,136,0.923077,16,relu,0.593598,1.79802,0.000550624,100,True,9.87252e-07,39.3
39,138,0.923077,32,gelu,0.617139,0.223994,0.000302699,15,True,3.93097e-05,28.3
40,152,0.923077,16,gelu,0.613144,2.20902,0.000516103,85,True,9.39085e-05,43.8
41,155,0.923077,16,gelu,0.686316,1.08789,0.000923813,10,True,9.4028e-06,23.6
42,159,0.923077,16,gelu,0.672198,1.32913,0.000273774,35,True,0.00010695,42.0
43,164,0.923077,16,gelu,0.600235,1.99105,0.000405308,25,True,0.000169761,36.8
44,168,0.923077,16,gelu,0.543262,0.231337,0.00087828,35,True,7.5876e-06,34.9
45,170,0.923077,16,gelu,0.611191,9.25214,0.00195955,20,True,1.75091e-05,34.8
46,174,0.923077,16,gelu,0.631972,8.58693,0.00279822,30,True,1.43433e-05,39.8
47,184,0.923077,16,gelu,0.58284,1.49363,0.000586646,25,True,3.09331e-05,40.0
48,194,0.923077,16,gelu,0.582925,6.9366,0.000897073,70,True,2.63537e-05,40.2
