rank,trial,value,dataset.batch_size,model.activation,model.dropout,model.kernel_topology_names,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,63,0.977099,16,gelu,0.635595,"['grid', 'chain', 'horizontal', 'kings']",0.403714,4.17938e-05,91,False,6.44095e-05,296.8
2,64,0.977099,16,gelu,0.637583,"['grid', 'chain', 'horizontal', 'kings']",0.392418,3.97767e-05,86,False,0.00011999,185.0
3,121,0.977099,64,gelu,0.690138,"['grid', 'chain', 'horizontal', 'cross']",1.18647,0.000298104,56,True,2.13023e-06,108.8
4,147,0.977099,64,relu,0.588035,"['grid', 'chain', 'horizontal', 'cross']",4.8327,0.000200082,51,True,9.19174e-05,104.0
5,174,0.977099,64,gelu,0.682627,"['grid', 'chain', 'horizontal', 'cross']",0.319077,0.000525906,46,True,1.48681e-06,104.6
6,6,0.975191,64,gelu,0.565684,"['grid', 'chain', 'horizontal', 'cross']",0.769799,0.000202238,26,False,1.39313e-07,84.1
7,29,0.975191,64,gelu,0.464175,"['grid', 'chain', 'horizontal', 'cross']",0.959167,0.000279909,61,True,6.77402e-07,91.4
8,31,0.975191,64,gelu,0.698948,"['grid', 'chain', 'horizontal', 'cross']",1.08465,0.000213297,46,True,1.76646e-06,102.4
9,51,0.975191,64,gelu,0.666084,"['grid', 'chain', 'horizontal', 'cross']",1.30639,0.000343585,56,True,1.59442e-06,101.6
10,60,0.975191,16,gelu,0.6719,"['grid', 'chain', 'horizontal', 'kings']",0.469566,4.56336e-05,96,False,1.57284e-05,181.6
11,62,0.975191,16,gelu,0.635569,"['grid', 'chain', 'horizontal', 'kings']",0.86252,4.48006e-05,91,False,5.16744e-05,179.6
12,93,0.975191,16,gelu,0.667022,"['grid', 'chain', 'horizontal', 'kings']",0.209484,4.3569e-05,36,False,1.14826e-07,187.2
13,95,0.975191,16,gelu,0.685777,"['grid', 'chain', 'horizontal', 'kings']",0.025211,4.58889e-05,36,False,1.78596e-07,189.4
14,122,0.975191,64,gelu,0.67299,"['grid', 'chain', 'horizontal', 'cross']",0.933939,0.000373815,51,True,1.26349e-06,107.0
15,125,0.975191,64,gelu,0.645291,"['grid', 'chain', 'horizontal', 'cross']",1.29704,0.000307403,51,True,1.19414e-06,104.2
16,127,0.975191,64,gelu,0.631286,"['grid', 'chain', 'horizontal', 'cross']",0.889542,0.000292015,51,True,2.29239e-06,106.2
17,128,0.975191,64,gelu,0.659515,"['grid', 'chain', 'horizontal', 'cross']",1.31058,0.000267164,51,True,8.80694e-07,109.0
18,131,0.975191,64,gelu,0.698791,"['grid', 'chain', 'horizontal', 'cross']",1.03904,0.00032763,51,True,1.95169e-06,109.4
19,134,0.975191,64,gelu,0.673653,"['grid', 'chain', 'horizontal', 'cross']",0.9475,0.000404145,51,True,1.54655e-06,108.4
20,155,0.975191,64,gelu,0.684185,"['grid', 'chain', 'horizontal', 'cross']",0.221033,0.000336492,56,True,6.59031e-06,105.0
21,158,0.975191,64,relu,0.60784,"['grid', 'chain', 'horizontal', 'cross']",0.496627,0.000170792,51,False,4.48584e-05,103.4
22,164,0.975191,64,gelu,0.674292,"['grid', 'chain', 'horizontal', 'cross']",1.04567,0.000433004,61,True,3.35448e-05,105.0
23,171,0.975191,64,gelu,0.662265,"['grid', 'chain', 'horizontal', 'cross']",0.936752,0.000655085,51,True,1.58286e-06,105.8
24,182,0.975191,64,gelu,0.673602,"['grid', 'chain', 'horizontal', 'cross']",0.924212,0.000831122,46,True,1.43924e-06,104.4
25,184,0.975191,64,gelu,0.685883,"['grid', 'chain', 'horizontal', 'cross']",1.23363,0.000252148,61,True,2.42552e-06,105.6
26,185,0.975191,64,gelu,0.65824,"['grid', 'chain', 'horizontal', 'cross']",1.43716,0.000421583,51,True,8.64933e-07,106.6
27,21,0.973282,16,gelu,0.458989,"['grid', 'chain', 'horizontal', 'kings']",1.93481,1.21866e-05,41,False,1.74958e-07,175.5
28,23,0.973282,16,gelu,0.484679,"['grid', 'chain', 'horizontal', 'kings']",1.02872,0.00018098,46,False,5.36027e-08,104.8
29,32,0.973282,64,gelu,0.690859,"['grid', 'chain', 'horizontal', 'cross']",1.33323,0.000274259,56,True,1.84851e-06,103.6
30,54,0.973282,64,gelu,0.339424,"['grid', 'chain', 'horizontal', 'cross']",2.6083,5.38698e-05,56,True,1.54106e-06,104.5
31,71,0.973282,16,gelu,0.641985,"['grid', 'chain', 'horizontal', 'kings']",0.820968,3.7337e-05,91,False,6.29735e-05,180.7
