rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
67,108,0.973282,16,gelu,0.307909,6.77136,0.00017923,75,False,3.3118e-06,177.6
68,111,0.973282,16,gelu,0.66285,9.32917,0.000952643,95,False,3.8638e-08,182.4
69,118,0.973282,64,gelu,0.502777,8.33206,0.000365463,70,False,1.85048e-06,126.6
70,122,0.973282,64,gelu,0.683358,8.51691,0.000935587,90,True,5.74527e-07,123.2
71,125,0.973282,64,gelu,0.654141,8.72557,0.000773043,100,True,3.72849e-08,108.3
72,128,0.973282,32,relu,0.641906,8.18545,0.00350152,60,True,2.86976e-06,134.8
73,130,0.973282,32,gelu,0.586326,1.2694,0.00113803,45,False,7.88979e-06,146.5
74,132,0.973282,32,gelu,0.665246,9.08235,0.000392713,40,True,5.39252e-08,140.3
75,136,0.973282,32,gelu,0.108707,7.10528,0.000640265,80,True,1.29135e-05,144.3
76,137,0.973282,32,gelu,0.341188,9.52246,0.00165896,80,False,7.55421e-06,159.7
77,141,0.973282,32,gelu,0.675452,9.57264,0.00081693,95,True,1.58795e-08,154.1
78,145,0.973282,32,gelu,0.608379,0.328604,0.000158852,70,True,6.38417e-06,154.5
79,152,0.973282,32,gelu,0.452044,0.106929,0.000295424,90,True,3.61181e-06,153.7
80,159,0.973282,32,gelu,0.667195,1.27081,0.00167607,75,True,3.15633e-06,152.0
81,167,0.973282,32,gelu,0.651527,0.81503,0.00196177,70,True,8.12593e-06,162.3
82,169,0.973282,32,gelu,0.629732,0.902276,0.00142518,75,True,7.34612e-05,161.9
83,174,0.973282,32,gelu,0.620128,0.594432,0.0017538,75,True,5.17495e-06,153.4
84,175,0.973282,32,gelu,0.679668,0.618075,0.00250474,65,True,6.70327e-06,152.9
85,184,0.973282,32,gelu,0.694467,0.32432,0.00106273,85,True,1.50401e-05,146.2
86,192,0.973282,32,gelu,0.684932,0.255588,0.00236996,80,True,6.94153e-06,151.3
87,15,0.971374,64,gelu,0.537996,1.63292,0.000681135,40,False,1.40349e-07,63.7
88,17,0.971374,64,gelu,0.566473,5.62513,0.000608848,40,False,6.35105e-08,95.1
89,25,0.971374,64,gelu,0.57849,2.56035,0.00115155,60,False,3.14114e-08,110.8
90,28,0.971374,16,gelu,0.380924,5.26164,0.000386349,10,False,2.10676e-05,44.6
