rank,trial,value,dataset.batch_size,model.activation,model.dropout,model.kernel_topology_names,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
167,4,0.846154,16,relu,0.0811083,"['grid', 'chain', 'horizontal', 'vertical']",7.29007,0.000443905,76,False,3.42205e-05,35.5
168,18,0.846154,16,gelu,0.613767,"['grid', 'chain', 'horizontal', 'kings']",1.42791,0.000159964,46,False,6.6789e-08,41.2
169,27,0.846154,16,gelu,0.399966,"['grid', 'chain', 'horizontal', 'cross']",2.09889,0.00079499,6,False,1.62875e-06,9.8
170,10,0.807692,32,gelu,0.566703,"['grid', 'chain', 'horizontal', 'cross']",0.179619,0.000850624,1,False,0.000704183,2.3
171,36,0.807692,64,relu,0.597573,"['grid', 'chain', 'horizontal', 'ring']",5.25669,9.61701e-06,81,False,3.84672e-08,25.8
172,73,0.807692,16,gelu,0.644738,"['grid', 'chain', 'horizontal', 'kings']",6.03619,0.00260923,51,False,0.000254951,70.1
173,84,0.807692,16,gelu,0.555972,"['grid', 'chain', 'horizontal', 'ring']",6.04739,0.000180417,46,False,2.89291e-07,53.9
174,92,0.807692,16,gelu,0.523449,"['grid', 'chain', 'horizontal', 'ring']",2.41379,0.000930278,56,False,5.28645e-07,40.8
175,19,0.794872,32,gelu,0.627312,"['grid', 'chain', 'horizontal', 'cross']",1.51336,0.003506,41,False,1.34643e-08,31.5
176,28,0.794872,32,gelu,0.640676,"['grid', 'chain', 'horizontal', 'cross']",9.27219,9.95838e-06,21,False,4.41593e-08,31.4
177,59,0.794872,32,gelu,0.672354,"['grid', 'chain', 'horizontal', 'star']",6.38166,1.61062e-05,46,True,0.000114211,32.0
178,60,0.794872,32,gelu,0.627847,"['grid', 'chain', 'horizontal', 'star']",3.69389,0.000155035,56,False,3.37312e-06,32.4
179,75,0.769231,16,gelu,0.568455,"['grid', 'chain', 'horizontal', 'kings']",1.90857,0.000679367,31,False,0.000159454,27.1
180,8,0.743590,16,gelu,0.351875,"['grid', 'chain', 'horizontal', 'ring']",3.00878,2.72207e-07,26,False,3.06367e-06,53.1
181,33,0.743590,64,gelu,0.429398,"['grid', 'chain', 'horizontal', 'ring']",4.93315,0.00157438,71,False,5.60486e-07,23.4
182,7,0.730769,32,relu,0.292188,"['grid', 'chain', 'horizontal', 'cross']",8.18015,1.99065e-07,86,False,1.36628e-06,37.8
183,17,0.730769,64,gelu,0.674497,"['grid', 'chain', 'horizontal', 'cross']",1.55247,5.06076e-06,41,False,2.71512e-07,29.2
184,20,0.730769,16,gelu,0.442417,"['grid', 'chain', 'horizontal', 'cross']",3.60691,1.5973e-06,16,False,4.34612e-07,46.4
185,40,0.730769,64,gelu,0.55433,"['grid', 'chain', 'horizontal', 'ring']",8.2412,2.84208e-06,81,False,7.72644e-08,26.5
186,46,0.730769,64,gelu,0.656735,"['grid', 'chain', 'horizontal', 'ring']",5.38504,6.1582e-06,86,True,3.28769e-06,26.2
187,76,0.730769,16,gelu,0.121445,"['grid', 'chain', 'horizontal', 'kings']",5.55651,6.16427e-07,81,True,0.000481925,41.7
188,65,0.717949,32,gelu,0.658236,"['grid', 'chain', 'horizontal', 'kings']",7.75658,0.00200834,61,False,1.49351e-05,31.7
189,100,0.717949,32,gelu,0.264698,"['grid', 'chain', 'horizontal', 'vertical']",0.472941,7.62439e-08,76,True,3.88243e-06,32.1
190,35,0.705128,64,gelu,0.471773,"['grid', 'chain', 'horizontal', 'ring']",4.35935,1.70507e-06,66,True,3.77806e-07,25.8
