rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
163,29,0.846154,32,relu,0.655177,4.18204,0.000145802,100,True,8.1562e-05,47.6
164,46,0.846154,64,relu,0.537873,6.90588,0.00471865,75,False,4.6565e-06,52.0
165,56,0.846154,16,gelu,0.592405,9.58202,0.00253439,100,False,2.74717e-08,65.2
166,69,0.846154,64,gelu,0.12391,1.08749,0.00492197,80,False,2.96316e-06,44.1
167,70,0.846154,64,gelu,0.641341,9.21519,0.000335238,90,False,1.84523e-06,54.2
168,126,0.846154,16,gelu,0.60336,9.58972,0.00268747,65,False,0.000360925,48.2
169,127,0.846154,32,gelu,0.0600324,8.15332,0.000613061,100,False,1.08365e-05,47.1
170,148,0.846154,16,gelu,0.334966,9.02885,0.00411027,70,False,8.46858e-08,46.2
171,160,0.846154,16,gelu,0.280573,5.26276,0.00483886,80,False,9.61509e-05,52.8
172,190,0.846154,32,gelu,0.621193,8.59547,6.49715e-05,85,True,0.000237143,52.2
173,4,0.833333,64,relu,0.41853,9.69585,1.30523e-05,80,True,8.39986e-08,59.9
174,16,0.833333,64,gelu,0.342633,5.38101,5.21022e-05,40,False,1.7488e-06,46.7
175,20,0.833333,64,gelu,0.341283,1.45014,5.22089e-05,90,False,0.000761503,46.1
176,45,0.833333,64,relu,0.569397,7.47324,0.000181497,95,True,9.99052e-06,53.2
177,48,0.833333,64,gelu,0.611007,7.78104,8.5913e-05,95,False,4.08661e-07,51.9
178,49,0.833333,64,gelu,0.695438,9.55022,0.000395514,75,True,1.02717e-06,50.5
179,156,0.833333,16,gelu,0.578877,8.83238,0.00323682,75,False,5.43277e-05,62.1
180,164,0.833333,16,gelu,0.152763,8.8829,0.00159717,70,False,6.20384e-05,36.6
181,147,0.820513,16,gelu,0.17184,9.17219,0.00297975,90,False,8.49053e-05,48.0
182,119,0.807692,16,gelu,0.580176,8.73261,0.00389552,80,False,3.87064e-05,55.5
183,167,0.794872,16,relu,0.511924,6.54772,0.0024584,100,False,1.44906e-05,56.0
184,198,0.794872,16,relu,0.508087,6.82827,2.43643e-06,95,False,3.24967e-05,62.1
185,21,0.782051,64,gelu,0.689102,4.63885,0.0049531,100,False,7.23788e-06,42.3
186,78,0.782051,64,relu,0.607784,9.65096,1.48428e-05,100,True,1.30467e-06,49.7
187,0,0.730769,64,relu,0.0406585,7.31994,1.36299e-06,65,True,0.000566985,71.8
188,2,0.730769,32,relu,0.425281,1.99674,3.9731e-06,55,True,8.43101e-05,64.6
189,3,0.730769,16,relu,0.024072,6.84233,5.44484e-07,50,False,3.07865e-08,67.6
190,7,0.730769,32,gelu,0.083716,7.29606,5.91942e-07,70,True,4.22587e-07,78.2
191,9,0.730769,32,relu,0.443383,2.89751,2.01332e-07,25,True,2.42605e-08,51.7
192,36,0.730769,64,gelu,0.388747,9.15812,4.02745e-06,55,True,1.2084e-05,48.7
193,60,0.730769,64,gelu,0.394255,3.48171,1.23354e-06,100,False,4.20128e-05,54.8
194,108,0.730769,32,gelu,0.536106,8.78278,4.02018e-07,70,False,9.49811e-05,62.2
195,140,0.730769,16,gelu,0.0272777,7.54259,7.59254e-08,75,False,2.75731e-05,55.9
196,185,0.730769,16,gelu,0.516762,5.52082,1.54952e-06,50,False,7.70459e-05,60.1
197,44,0.705128,64,relu,0.622359,9.39679,1.02829e-07,85,False,2.31558e-06,48.0
198,59,0.576923,32,gelu,0.48599,4.98858,2.28019e-08,45,False,3.99679e-08,57.6
199,40,0.525641,16,gelu,0.579516,8.83225,1.05762e-08,70,False,5.48861e-07,58.8
200,6,0.512821,16,gelu,0.250926,7.06857,1.07515e-08,75,True,0.000119483,73.6
