rank,trial,value,dataset.batch_size,model.activation,model.dropout,model.kernel_topology_names,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,172,0.980916,16,gelu,0.178098,['ring'],7.16334,0.000103119,96,True,4.3271e-06,149.6
2,121,0.979008,16,gelu,0.362617,['vertical'],1.02917,0.000234177,86,True,1.59465e-06,152.8
3,152,0.979008,16,gelu,0.120089,['ring'],5.24873,8.97977e-05,96,True,1.07308e-05,143.0
4,158,0.979008,16,relu,0.167485,['ring'],5.84928,9.89693e-05,96,True,2.21564e-05,146.2
5,173,0.979008,16,gelu,0.181147,['ring'],5.49654,9.65253e-05,96,True,4.44107e-06,154.6
6,174,0.979008,16,gelu,0.214726,['ring'],7.03347,9.07801e-05,96,True,3.68473e-06,149.2
7,185,0.979008,16,gelu,0.219435,['ring'],8.53837,0.000115319,91,True,2.7312e-06,155.2
8,186,0.979008,16,gelu,0.214532,['ring'],8.65205,0.000124019,96,True,6.25444e-06,154.5
9,15,0.977099,16,gelu,0.0519548,['horizontal'],1.59618,0.00486225,41,True,9.67185e-07,228.1
10,34,0.977099,16,relu,0.2261,['cross'],4.89626,0.000451366,46,False,1.05034e-06,72.6
11,88,0.977099,16,gelu,0.624404,['ring'],4.10564,0.000127841,86,True,4.20355e-06,138.6
12,147,0.977099,16,gelu,0.0871759,['ring'],2.79531,0.00011282,86,True,1.03124e-05,136.6
13,150,0.977099,16,gelu,0.128177,['ring'],4.96482,0.000103189,96,True,3.08166e-06,141.0
14,151,0.977099,16,gelu,0.17063,['ring'],4.98708,8.39516e-05,96,True,3.37394e-06,139.4
15,153,0.977099,16,gelu,0.173962,['ring'],6.05159,8.43886e-05,96,True,9.83664e-06,147.9
16,154,0.977099,16,gelu,0.171382,['ring'],5.78103,7.95466e-05,96,True,1.12592e-05,146.6
17,165,0.977099,16,gelu,0.13341,['ring'],6.49336,0.0001258,91,True,0.000216381,143.2
18,171,0.977099,16,gelu,0.18293,['ring'],6.03851,9.22069e-05,96,True,3.50598e-06,151.4
19,175,0.977099,16,gelu,0.222411,['ring'],8.08748,8.85596e-05,96,True,3.92319e-06,150.7
20,180,0.977099,16,gelu,0.206478,['ring'],7.35781,9.99249e-05,91,True,2.84714e-06,144.6
21,181,0.977099,16,gelu,0.22688,['ring'],8.08262,0.000100509,91,True,2.85908e-06,146.3
22,188,0.977099,16,gelu,0.167256,['ring'],8.49977,0.00012859,96,True,1.21496e-05,152.5
23,191,0.977099,16,gelu,0.180948,['ring'],7.63381,8.28242e-05,91,True,4.04433e-06,147.8
24,196,0.977099,16,gelu,0.139181,['ring'],8.87846,0.000111424,96,True,4.59408e-06,145.0
25,4,0.975191,16,gelu,0.539677,['kings'],1.19594,0.00113815,71,True,2.29654e-06,180.5
26,47,0.975191,16,relu,0.0903298,['kings'],1.4517,5.98639e-05,66,False,0.000977414,126.1
27,84,0.975191,16,gelu,0.582725,['ring'],4.66174,0.000181132,96,True,5.97349e-06,140.3
28,91,0.975191,16,gelu,0.696824,['ring'],4.70544,0.000141042,86,True,5.23544e-06,148.7
29,96,0.975191,16,gelu,0.615681,['kings'],3.90359,0.000353598,76,False,7.28504e-06,144.1
30,114,0.975191,16,gelu,0.429429,['ring'],2.46971,8.82175e-05,96,True,1.88767e-06,148.2
31,115,0.975191,16,gelu,0.33666,['horizontal'],1.49112,0.000240085,41,True,1.80899e-06,78.5
32,132,0.975191,16,gelu,0.345143,['vertical'],0.828042,0.000214442,81,True,5.75497e-06,144.8
33,143,0.975191,16,gelu,0.127121,['vertical'],0.336973,0.000230525,76,True,2.07221e-06,128.0
34,157,0.975191,16,gelu,0.118627,['ring'],5.73613,7.86394e-05,96,True,1.59613e-05,141.4
35,160,0.975191,16,relu,0.173566,['ring'],5.3335,0.000109175,96,True,2.77729e-05,143.0
36,162,0.975191,16,relu,0.10493,['ring'],5.94048,0.000103514,96,True,1.39828e-05,146.9
37,167,0.975191,16,gelu,0.138583,['ring'],6.57731,0.0001362,91,True,0.000445835,143.8
38,168,0.975191,16,gelu,0.11833,['ring'],5.15614,6.62852e-05,91,True,4.02711e-05,144.5
39,176,0.975191,16,gelu,0.216173,['ring'],7.30936,8.87154e-05,96,True,4.08021e-06,140.7
40,178,0.975191,16,gelu,0.238657,['ring'],7.11878,0.000109682,96,True,4.76949e-06,145.6
41,192,0.975191,16,gelu,0.204769,['ring'],8.28329,0.000116057,91,True,2.51691e-06,145.8
42,194,0.975191,16,gelu,0.220171,['ring'],7.00428,0.000156075,91,True,3.16118e-06,147.4
43,195,0.975191,16,gelu,0.238881,['ring'],9.22321,8.25804e-05,96,True,1.00131e-05,146.4
44,199,0.975191,16,gelu,0.171378,['ring'],7.38006,8.92751e-05,91,True,3.58844e-06,140.5
45,25,0.973282,16,gelu,0.2049,['horizontal'],4.63001,0.00108178,86,True,1.29882e-06,129.2
46,52,0.973282,16,gelu,0.0227031,['kings'],1.79594,0.000381518,36,False,8.86799e-07,57.7
47,65,0.973282,16,gelu,0.355471,['vertical'],0.422896,0.000205125,76,True,4.01118e-06,126.8
48,85,0.973282,16,gelu,0.567811,['ring'],4.72917,6.08882e-05,96,True,3.34831e-06,138.2
49,92,0.973282,16,gelu,0.687822,['ring'],4.2099,0.000143141,81,True,5.27901e-06,147.1
50,93,0.973282,16,gelu,0.620361,['ring'],4.47792,0.000197766,86,True,1.84876e-05,145.4
51,94,0.973282,16,gelu,0.665816,['ring'],5.22985,0.000263018,81,True,1.65432e-06,143.9
52,111,0.973282,16,gelu,0.577595,['ring'],4.71355,6.09363e-05,96,True,6.70662e-06,139.6
53,113,0.973282,16,gelu,0.540156,['ring'],4.58753,0.000172823,86,True,4.40224e-06,139.8
54,131,0.973282,16,gelu,0.362087,['vertical'],1.10043,0.000134251,71,True,4.49008e-06,128.9
55,133,0.973282,16,gelu,0.343495,['vertical'],2.42953,0.000395036,81,True,5.21935e-06,132.0
56,142,0.973282,16,gelu,0.612342,['vertical'],0.576313,0.000128198,86,True,7.74445e-06,143.9
57,155,0.973282,16,gelu,0.191852,['ring'],6.15649,3.1625e-05,96,True,1.08373e-05,148.0
58,161,0.973282,16,relu,0.143526,['ring'],6.22093,8.47342e-05,96,True,1.12345e-05,137.5
59,164,0.973282,16,gelu,0.0949273,['ring'],5.57052,4.22203e-05,96,True,8.98025e-06,139.7
60,177,0.973282,16,gelu,0.182388,['ring'],8.7541,7.2401e-05,96,True,3.29189e-06,147.8
61,179,0.973282,16,gelu,0.194235,['ring'],5.92205,5.42879e-05,96,True,3.52208e-06,144.6
62,182,0.973282,16,gelu,0.2057,['ring'],8.04934,9.63221e-05,91,True,2.89173e-06,149.7
63,184,0.973282,16,gelu,0.179343,['ring'],8.08854,3.66161e-05,96,True,4.43329e-06,148.8
64,187,0.973282,16,gelu,0.250503,['ring'],8.6742,0.000153567,96,True,6.63022e-06,155.6
65,190,0.973282,16,gelu,0.214828,['ring'],9.58948,4.49616e-05,96,True,8.04747e-06,150.7
66,197,0.973282,16,gelu,0.258766,['ring'],6.04945,0.000169103,91,True,6.74807e-06,150.0
67,198,0.973282,16,gelu,0.196618,['ring'],5.69908,5.41567e-05,96,True,2.42173e-06,140.1
68,81,0.971374,16,gelu,0.547715,['ring'],0.383247,4.43297e-05,91,True,2.78026e-06,145.3
69,83,0.971374,16,gelu,0.598923,['ring'],4.52032,0.000187,96,True,6.05038e-06,147.4
70,86,0.971374,16,relu,0.574714,['ring'],4.76748,7.23375e-05,96,True,8.71546e-06,146.2
71,109,0.971374,16,relu,0.30359,['chain'],1.82039,0.000269059,81,True,2.6228e-06,137.4
72,110,0.971374,16,gelu,0.247351,['kings'],3.04073,0.00135973,81,False,1.41855e-06,120.6
73,122,0.971374,16,gelu,0.270142,['kings'],1.23161,0.000240283,86,True,1.65721e-06,140.2
74,135,0.971374,16,gelu,0.330425,['star'],4.42254,0.000963775,81,True,3.02951e-06,135.4
75,141,0.971374,16,gelu,0.349142,['vertical'],0.154448,0.000167647,76,True,3.76854e-06,137.3
76,144,0.971374,16,gelu,0.110889,['vertical'],0.265612,0.00037499,81,True,1.5414e-06,129.5
77,148,0.971374,16,gelu,0.0882241,['ring'],2.83479,5.31792e-05,86,True,5.65103e-06,139.2
78,156,0.971374,16,gelu,0.172213,['ring'],6.56576,4.61825e-05,96,True,9.63831e-06,144.3
79,166,0.971374,16,relu,0.166592,['ring'],6.37992,0.000125825,91,True,0.000162298,137.8
80,183,0.971374,16,gelu,0.227043,['ring'],7.49644,7.12491e-05,91,True,3.55345e-06,148.0
81,193,0.971374,16,gelu,0.158803,['ring'],6.85296,6.22247e-05,96,True,5.81329e-06,149.8
82,12,0.969466,16,gelu,0.0504042,['horizontal'],1.92853,0.000158319,66,True,9.07618e-07,190.5
83,30,0.969466,16,gelu,0.510141,['ring'],0.347726,3.47782e-05,91,True,3.21285e-06,141.5
84,32,0.969466,16,gelu,0.119164,['horizontal'],2.20407,4.61773e-05,71,True,4.49416e-07,140.0
85,60,0.969466,32,relu,0.036752,['kings'],2.43153,0.0012987,51,True,6.35495e-05,49.8
86,63,0.969466,16,gelu,0.158929,['chain'],4.0597,0.000161074,76,True,2.68666e-06,122.1
87,76,0.969466,16,gelu,0.363383,['horizontal'],2.20324,0.000109238,26,False,8.51018e-07,77.2
88,78,0.969466,16,relu,0.0608226,['kings'],5.14458,0.00053779,86,True,6.02667e-07,129.5
89,80,0.969466,16,gelu,0.000818603,['chain'],0.853073,0.000300296,51,True,3.67125e-08,80.8
90,82,0.969466,16,gelu,0.546418,['ring'],0.529732,3.31668e-05,91,True,2.29921e-06,146.5
91,100,0.969466,16,relu,0.586041,['kings'],4.89305,0.000585553,6,False,4.54603e-05,38.3
92,107,0.969466,16,gelu,0.407453,['cross'],1.32966,0.00396999,76,True,2.65332e-05,123.9
93,112,0.969466,16,gelu,0.560541,['ring'],4.89026,3.89221e-05,91,True,3.2674e-06,145.2
94,127,0.969466,16,relu,0.0252649,['horizontal'],1.60314,0.000297434,51,False,1.41602e-06,80.6
95,136,0.969466,16,relu,0.392681,['kings'],5.11545,0.000217258,91,True,1.00812e-06,137.2
96,145,0.969466,16,gelu,0.131616,['kings'],1.521,0.00024215,76,True,9.46256e-05,114.2
97,163,0.969466,16,relu,0.191935,['ring'],4.9826,5.4268e-05,91,True,7.31738e-06,142.2
98,0,0.967557,16,gelu,0.127277,['horizontal'],0.205845,2.66524e-05,96,True,3.47027e-05,210.8
99,16,0.967557,64,gelu,0.340872,['star'],3.87861,0.00210912,41,True,6.73029e-06,146.7
100,33,0.967557,16,gelu,0.0620539,['chain'],1.1146,0.00114444,81,True,5.99588e-08,113.3
101,43,0.967557,16,gelu,0.450895,['kings'],6.67869,0.000488689,61,False,1.30912e-06,109.7
102,62,0.967557,16,gelu,0.0547768,['horizontal'],1.81488,0.000357196,66,True,9.29881e-07,103.1
103,68,0.967557,16,gelu,0.350096,['vertical'],0.463143,0.00280405,91,False,2.19354e-05,135.1
104,73,0.967557,16,gelu,0.266011,['horizontal'],3.38085,0.000675513,36,True,1.16165e-08,62.8
105,89,0.967557,64,relu,0.64082,['kings'],3.8483,0.000108021,86,False,1.21579e-05,70.1
