head,source,seed,val_acc,val_loss,test_acc,test_auc,test_f1
linear,poly2_45,0,0.8717948794364929,0.3840778172016144,0.8269230769230769,0.8199665831244778,0.748792270531401
linear,poly2_45,1,0.8205128312110901,0.4023461639881134,0.7884615384615384,0.8341687552213868,0.7155015197568388
linear,poly2_45,2,0.8461538553237915,0.392973929643631,0.8141025641025641,0.827485380116959,0.7499861840287372
linear,poly2_45,3,0.8333333134651184,0.40999525785446167,0.7948717948717948,0.8162071846282373,0.7165568930274813
linear,poly2_45,4,0.8333333134651184,0.3869210183620453,0.8076923076923077,0.8281119465329992,0.759209713932908
linear,poly2_45,5,0.8333333134651184,0.4064938426017761,0.8205128205128205,0.8068086883876358,0.7247983870967742
linear,poly2_45,6,0.8333333134651184,0.3980173170566559,0.7884615384615384,0.8318713450292399,0.7370114942528736
linear,poly2_45,7,0.8333333134651184,0.3975033164024353,0.7628205128205128,0.8168337510442774,0.7091751902050687
linear,poly2_45,8,0.8461538553237915,0.397565633058548,0.8012820512820513,0.8245614035087719,0.7053914102954615
linear,poly2_45,9,0.8333333134651184,0.3933431804180145,0.8076923076923077,0.8218462823725982,0.7478448275862069
mlp1,poly2_45,0,0.8717948794364929,0.3629629909992218,0.8141025641025641,0.8247702589807853,0.7182186234817813
mlp1,poly2_45,1,0.8717948794364929,0.42429113388061523,0.8012820512820513,0.8114035087719298,0.6917192579843182
mlp1,poly2_45,2,0.8846153616905212,0.33433786034584045,0.8269230769230769,0.827485380116959,0.7376518218623482
mlp1,poly2_45,3,0.8717948794364929,0.3555241823196411,0.8333333333333334,0.8299916457811194,0.7501847745750185
mlp1,poly2_45,4,0.8717948794364929,0.4216073751449585,0.7948717948717948,0.8088972431077693,0.6779354838709677
mlp1,poly2_45,5,0.8846153616905212,0.35030144453048706,0.8397435897435898,0.8362573099415204,0.7624124276576303
mlp1,poly2_45,6,0.9102563858032227,0.34086206555366516,0.8269230769230769,0.8276942355889724,0.7434054218702406
mlp1,poly2_45,7,0.8717948794364929,0.37234431505203247,0.8333333333333334,0.8293650793650794,0.7555448408871746
mlp1,poly2_45,8,0.8589743375778198,0.36266428232192993,0.8333333333333334,0.8318713450292398,0.7501847745750185
mlp1,poly2_45,9,0.8589743375778198,0.3893604874610901,0.8141025641025641,0.8260233918128654,0.7182186234817813
mlp2,poly2_45,0,0.8717948794364929,0.38329458236694336,0.8205128205128205,0.7999164578111947,0.7367405978784957
mlp2,poly2_45,1,0.8974359035491943,0.375293105840683,0.8205128205128205,0.8210108604845446,0.7472222222222222
mlp2,poly2_45,2,0.8974359035491943,0.3871406018733978,0.7948717948717948,0.805764411027569,0.7216770740410348
mlp2,poly2_45,3,0.8717948794364929,0.3669516146183014,0.8141025641025641,0.808061821219716,0.7116083381143622
mlp2,poly2_45,4,0.9102563858032227,0.36549705266952515,0.8205128205128205,0.8122389306599833,0.7247983870967742
mlp2,poly2_45,5,0.8461538553237915,0.42727914452552795,0.7948717948717948,0.8045112781954887,0.6611458050502308
mlp2,poly2_45,6,0.8974359035491943,0.3604899048805237,0.8141025641025641,0.7980367585630743,0.740700406946753
mlp2,poly2_45,7,0.8846153616905212,0.3787691593170166,0.8012820512820513,0.7949039264828739,0.6672858617131063
mlp2,poly2_45,8,0.8717948794364929,0.37245574593544006,0.8076923076923077,0.8065998329156223,0.6980645161290322
mlp2,poly2_45,9,0.8589743375778198,0.385745644569397,0.8076923076923077,0.7999164578111946,0.6980645161290322
cnn_small,poly2_45,0,0.8333333134651184,0.39887773990631104,0.7884615384615384,0.8675856307435253,0.7472381794078656
cnn_small,poly2_45,1,0.9358974099159241,0.29305973649024963,0.8653846153846154,0.8780284043441938,0.8122313291683384
cnn_small,poly2_45,2,0.9358974099159241,0.3103812336921692,0.8717948717948718,0.8711361737677529,0.8228480581421758
cnn_small,poly2_45,3,0.8846153616905212,0.31249237060546875,0.8397435897435898,0.8623642439431913,0.7764658680575457
cnn_small,poly2_45,4,0.8846153616905212,0.34608420729637146,0.8461538461538461,0.8659147869674184,0.7948717948717949
cnn_small,poly2_45,5,0.8846153616905212,0.35230669379234314,0.8269230769230769,0.8448203842940685,0.7877764901496448
cnn_small,poly2_45,6,0.9102563858032227,0.36395588517189026,0.8333333333333334,0.8368838763575606,0.7697024755848285
cnn_small,poly2_45,7,0.8717948794364929,0.37455296516418457,0.8269230769230769,0.8533834586466166,0.7672285161646863
cnn_small,poly2_45,8,0.8846153616905212,0.38344237208366394,0.8717948717948718,0.8586048454469507,0.8228480581421758
cnn_small,poly2_45,9,0.8846153616905212,0.35457390546798706,0.8333333333333334,0.837092731829574,0.7501847745750185
cnn_large,poly2_45,0,0.9102563858032227,0.28854861855506897,0.8717948717948718,0.8874269005847952,0.8260481712756467
cnn_large,poly2_45,1,0.9230769276618958,0.30628469586372375,0.8653846153846154,0.8934837092731831,0.8156962025316455
cnn_large,poly2_45,2,0.9102563858032227,0.30703550577163696,0.8653846153846154,0.8865914786967419,0.8220242299125333
cnn_large,poly2_45,3,0.8974359035491943,0.2869212329387665,0.8461538461538461,0.887844611528822,0.7982758620689655
cnn_large,poly2_45,4,0.9102563858032227,0.3071173131465912,0.8910256410256411,0.8976608187134504,0.847996790279131
cnn_large,poly2_45,5,0.8974359035491943,0.33691683411598206,0.8525641025641025,0.8805346700083542,0.8082411415744749
cnn_large,poly2_45,6,0.8846153616905212,0.31717783212661743,0.8589743589743589,0.8861737677527151,0.8150862068965516
cnn_large,poly2_45,7,0.9230769276618958,0.304804265499115,0.8525641025641025,0.881578947368421,0.8082411415744749
cnn_large,poly2_45,8,0.8974359035491943,0.34290674328804016,0.8589743589743589,0.8959899749373434,0.8051328639563934
cnn_large,poly2_45,9,0.9358974099159241,0.26748529076576233,0.8717948717948718,0.8842940685045948,0.8260481712756467
linear,rff_45,0,0.8717948794364929,0.4104894995689392,0.8141025641025641,0.8203842940685047,0.7116083381143622
