rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
175,26,0.963740,64,gelu,0.697181,5.44512,2.10555e-05,80,False,2.27999e-06,361.0
176,85,0.963740,32,gelu,0.6493,6.91086,4.93065e-06,65,True,3.89529e-06,263.0
177,98,0.963740,32,gelu,0.504492,5.86713,3.00635e-05,45,True,1.19047e-06,275.6
178,109,0.963740,16,gelu,0.612333,6.74046,0.000625205,15,True,4.56051e-06,81.2
179,149,0.963740,32,gelu,0.438902,5.82064,9.54226e-06,20,True,2.29481e-06,236.7
180,158,0.963740,32,relu,0.682645,6.64597,0.00494561,50,True,1.29357e-05,295.0
181,178,0.963740,32,gelu,0.671967,4.74507,0.00253251,10,True,2.83355e-06,103.2
182,203,0.963740,16,gelu,0.612034,2.14279,0.00394804,20,True,8.45312e-07,141.6
183,86,0.961832,64,gelu,0.0813955,5.88154,0.000822274,55,True,3.50221e-05,145.3
184,113,0.961832,32,gelu,0.663866,7.21424,0.0038974,10,True,1.98228e-06,91.8
185,2,0.959924,32,relu,0.425281,1.99674,3.9731e-06,55,True,8.43101e-05,321.1
186,71,0.959924,32,gelu,0.698734,5.98314,0.000961071,15,True,3.05316e-06,101.0
187,72,0.959924,32,gelu,0.621444,6.70896,0.00154113,25,True,7.18739e-06,118.4
188,87,0.959924,32,gelu,0.21061,6.61314,0.00493715,30,True,2.44504e-06,106.2
189,112,0.959924,32,gelu,0.601848,5.70745,0.00180277,15,True,2.56863e-06,95.7
190,115,0.959924,32,gelu,0.585779,5.56438,0.0022322,15,True,6.34976e-06,106.0
191,139,0.959924,32,gelu,0.679589,5.99378,0.00116958,10,True,1.19853e-05,92.3
192,3,0.958015,16,relu,0.024072,6.84233,5.44484e-07,50,False,3.07865e-08,337.6
193,5,0.958015,16,relu,0.098647,8.28738,1.64082e-06,40,False,2.27376e-07,343.1
194,27,0.958015,64,gelu,0.334644,2.49185,0.00195311,95,False,3.34867e-05,356.3
195,37,0.958015,16,relu,0.587013,4.64031,3.84314e-06,70,False,1.28664e-08,331.7
196,68,0.958015,32,relu,0.00827106,7.12542,0.00217667,45,True,1.47918e-06,154.9
197,4,0.956107,64,relu,0.41853,9.69585,1.30523e-05,80,True,8.39986e-08,377.4
198,129,0.954198,32,gelu,0.624365,6.53523,1.91619e-06,20,True,5.45185e-06,275.9
199,57,0.950382,16,gelu,0.52763,0.498543,1.10056e-06,75,True,1.27081e-05,349.8
200,131,0.950382,32,gelu,0.605209,3.93293,0.00288008,10,True,2.40701e-06,127.3
201,198,0.950382,16,gelu,0.586277,6.06577,0.00142391,20,True,5.03919e-06,88.0
202,0,0.946565,64,relu,0.0406585,7.31994,1.36299e-06,65,True,0.000566985,296.5
203,7,0.938931,32,gelu,0.083716,7.29606,5.91942e-07,70,True,4.22587e-07,383.2
204,93,0.938931,32,gelu,0.688126,5.73225,0.0012538,30,True,5.31708e-06,114.0
205,9,0.784351,32,relu,0.443383,2.89751,2.01332e-07,25,True,2.42605e-08,420.6
206,6,0.765267,16,gelu,0.250926,7.06857,1.07515e-08,75,True,0.000119483,380.7
207,44,0.759542,32,gelu,0.646853,4.52073,1.02829e-07,35,False,7.54271e-05,287.1
208,40,0.751908,16,gelu,0.520537,7.91507,1.05762e-08,50,False,3.18266e-08,356.3
209,118,0.750000,64,gelu,0.539468,2.00337,2.40745e-07,25,True,3.49474e-06,244.5
210,56,0.746183,16,gelu,0.476079,1.1017,4.06872e-08,70,True,3.53802e-06,355.2
211,130,0.631679,64,gelu,0.588329,0.625808,1.5916e-08,60,True,4.18834e-06,285.5
