rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,184,0.984733,16,gelu,0.635298,8.63852,0.000486609,75,True,2.63411e-05,162.5
2,84,0.982824,16,gelu,0.645336,2.27747,0.00169308,80,True,1.9276e-05,159.9
3,174,0.982824,16,gelu,0.629995,1.70092,0.000785514,70,True,2.52423e-05,160.9
4,65,0.980916,16,gelu,0.634433,1.80849,0.00157398,95,True,3.46851e-05,159.6
5,154,0.980916,16,gelu,0.640875,1.3385,0.000415815,70,True,1.99081e-05,155.6
6,186,0.980916,16,gelu,0.635067,8.70073,0.00042127,65,True,2.04718e-05,176.0
7,48,0.979008,16,gelu,0.635952,0.68833,0.00187426,75,True,1.57333e-05,158.1
8,71,0.979008,16,gelu,0.672999,1.10826,0.000591095,75,True,3.45999e-05,157.6
9,88,0.979008,32,gelu,0.650656,1.08039,0.00423561,75,True,8.92934e-06,105.0
10,114,0.979008,16,gelu,0.687754,0.600819,0.000443725,85,True,6.81788e-06,163.6
11,118,0.979008,16,gelu,0.66596,0.957758,0.000808566,90,True,6.49002e-06,156.0
12,130,0.979008,16,gelu,0.631689,0.994652,0.00363845,75,True,2.10468e-05,159.6
13,159,0.979008,32,gelu,0.599734,1.56533,0.00074361,80,True,4.44794e-05,109.1
14,178,0.979008,16,gelu,0.632258,9.58274,0.000471076,70,True,4.82822e-05,161.6
15,185,0.979008,16,gelu,0.63434,8.09178,0.000455607,65,True,2.60992e-05,164.6
16,189,0.979008,16,gelu,0.619594,8.99007,0.000274796,65,False,1.6638e-06,163.9
17,196,0.979008,16,gelu,0.626234,8.46967,0.00044691,70,True,2.49315e-05,163.1
18,22,0.977099,64,gelu,0.612708,1.17082,0.0013568,90,False,3.60888e-05,74.1
19,39,0.977099,32,relu,0.580437,8.88619,0.000318559,65,True,8.73051e-07,97.7
20,47,0.977099,32,gelu,0.630366,0.707166,0.00224132,75,True,1.43615e-05,102.2
21,53,0.977099,16,gelu,0.579116,0.764785,0.000793646,85,True,2.4955e-05,161.0
22,55,0.977099,16,gelu,0.590497,0.428404,0.00278908,80,True,2.56674e-05,155.5
23,57,0.977099,16,gelu,0.669852,1.50605,0.00078969,80,True,3.47971e-05,166.4
24,59,0.977099,16,gelu,0.634146,0.315867,0.00295251,75,True,1.67907e-05,164.0
25,60,0.977099,16,gelu,0.698975,1.35332,0.000660902,70,True,8.74702e-06,160.6
26,74,0.977099,16,gelu,0.621901,2.13254,0.000529556,85,True,5.05602e-05,157.4
27,75,0.977099,16,gelu,0.572787,1.21157,0.00112997,90,True,2.30919e-05,154.6
28,79,0.977099,16,relu,0.507371,4.40293,0.000335146,85,True,3.61467e-06,156.9
29,90,0.977099,32,gelu,0.653687,2.9296,0.00101133,65,True,6.04353e-06,103.9
30,94,0.977099,16,gelu,0.698506,0.428583,0.00223203,75,True,5.37541e-05,159.2
31,99,0.977099,32,gelu,0.58875,0.591309,0.00295101,90,True,2.79548e-05,105.3
32,100,0.977099,16,gelu,0.642079,1.99927,0.00198194,95,True,0.00091323,165.0
33,103,0.977099,16,gelu,0.663757,1.65923,0.000911671,75,True,7.039e-05,165.3
34,110,0.977099,16,gelu,0.170613,0.466072,0.00276745,90,True,8.88396e-05,153.8
35,111,0.977099,16,gelu,0.633099,0.247038,0.00302148,75,True,1.47205e-05,159.1
36,115,0.977099,16,gelu,0.651991,0.7139,0.000388552,85,True,5.54545e-05,158.3
37,123,0.977099,16,gelu,0.615798,1.17426,0.000927875,90,True,4.13231e-06,160.4
38,124,0.977099,16,gelu,0.134621,1.66009,0.00135067,95,True,5.27019e-06,159.5
39,132,0.977099,16,gelu,0.634196,0.83122,0.00377832,70,True,2.60038e-05,164.4
40,134,0.977099,16,gelu,0.698742,1.40614,0.0011927,85,True,2.04388e-05,154.5
41,135,0.977099,16,gelu,0.659944,0.516927,0.00181953,75,True,1.53717e-05,163.3
42,148,0.977099,16,gelu,0.649095,0.454694,0.00259618,70,True,1.79911e-05,165.3
43,153,0.977099,16,gelu,0.675295,0.978021,0.000903254,80,True,7.77013e-06,160.4
44,158,0.977099,16,gelu,0.652954,0.826805,0.00409772,85,True,2.71277e-05,163.7
45,161,0.977099,32,gelu,0.602094,1.16308,0.000344436,80,True,1.58939e-05,104.3
46,163,0.977099,32,gelu,0.621714,1.47779,0.00239496,80,True,3.63392e-05,104.6
47,164,0.977099,32,gelu,0.602681,2.00424,0.000233709,75,True,5.9247e-05,105.6
48,166,0.977099,16,gelu,0.65865,1.78268,0.000484387,85,True,2.96686e-05,168.7
49,170,0.977099,64,gelu,0.682495,1.10332,0.00138023,75,True,9.56148e-05,77.5
50,172,0.977099,16,gelu,0.682911,1.33328,0.000381218,70,True,3.63332e-06,161.3
51,179,0.977099,16,gelu,0.323249,9.47011,0.000253911,70,True,5.07805e-05,162.4
52,180,0.977099,16,gelu,0.609369,9.77408,0.000485762,65,True,4.26538e-05,149.4
53,181,0.977099,16,gelu,0.625878,9.23391,0.000311742,95,True,3.15468e-05,165.7
54,182,0.977099,16,gelu,0.655362,9.86625,0.00133738,75,True,2.27309e-05,166.4
55,187,0.977099,16,gelu,0.636175,8.56848,0.000415523,55,True,1.93588e-05,175.6
56,15,0.975191,64,gelu,0.555364,0.370189,0.000286698,85,False,2.79851e-07,75.7
57,28,0.975191,16,gelu,0.565575,2.85617,0.000139764,60,False,8.12144e-08,153.1
58,37,0.975191,32,gelu,0.488892,2.58573,0.000268908,70,True,8.53993e-07,105.6
59,41,0.975191,32,relu,0.525553,8.69988,0.000246238,75,True,7.70169e-07,100.9
60,54,0.975191,16,gelu,0.615321,0.67478,0.000905493,85,True,7.9314e-06,157.3
61,64,0.975191,16,gelu,0.610308,0.965435,0.00328028,80,True,0.000235388,160.1
62,69,0.975191,32,gelu,0.537023,6.79241,0.00128725,100,True,1.84077e-05,103.8
63,72,0.975191,16,gelu,0.598643,1.10713,0.000408259,75,True,1.15936e-05,161.3
64,82,0.975191,16,gelu,0.616995,1.55465,0.000764668,75,True,6.23411e-05,167.5
65,85,0.975191,64,gelu,0.552855,2.52041,0.00173664,70,True,2.05208e-05,79.4
