rank,trial,value,dataset.batch_size,model.activation,model.dropout,model.kernel_topology_names,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
73,191,0.973282,16,gelu,0.466055,['vertical'],0.841434,7.91824e-05,61,True,5.75653e-05,156.4
74,198,0.973282,16,gelu,0.460413,['vertical'],3.00779,0.00023268,71,True,3.41107e-05,150.1
75,4,0.971374,16,gelu,0.539677,['kings'],1.19594,0.00113815,71,True,2.29654e-06,186.5
76,14,0.971374,16,gelu,0.308786,['grid'],4.16031,0.000254753,46,True,0.000417431,160.3
77,33,0.971374,16,gelu,0.555029,['kings'],6.11579,0.000287105,61,True,5.61871e-07,144.5
78,56,0.971374,16,gelu,0.602428,['star'],6.57245,0.0023335,71,True,0.000930653,142.7
79,66,0.971374,16,gelu,0.455543,['vertical'],6.32142,0.000310275,51,True,0.000357124,110.7
80,80,0.971374,16,gelu,0.518973,['vertical'],3.18629,0.000152131,91,False,2.28938e-05,143.3
81,95,0.971374,16,gelu,0.483157,['vertical'],2.79109,5.5487e-05,76,True,4.49445e-05,145.8
82,126,0.971374,16,gelu,0.531066,['vertical'],2.4461,6.44746e-05,71,True,1.61196e-05,144.6
83,136,0.971374,16,gelu,0.417986,['vertical'],3.11995,0.00026194,96,True,1.69614e-05,146.9
84,145,0.971374,16,gelu,0.391696,['vertical'],3.68752,5.25546e-05,86,True,1.74323e-05,152.1
85,152,0.971374,16,gelu,0.530721,['vertical'],0.440287,7.34593e-05,91,True,1.1389e-05,151.5
86,170,0.971374,16,gelu,0.375638,['vertical'],3.2321,0.000178857,76,True,6.89557e-05,161.2
87,179,0.971374,16,gelu,0.435879,['star'],2.19998,0.000287258,71,True,2.40587e-05,148.4
88,13,0.969466,16,gelu,0.280651,['grid'],0.0353182,0.000144818,51,True,8.34571e-05,229.3
89,16,0.969466,64,gelu,0.573834,['grid'],4.60758,0.00210912,41,True,1.98773e-06,134.5
90,19,0.969466,64,gelu,0.379804,['cross'],5.72397,0.000523066,76,True,0.000249749,242.9
91,28,0.969466,64,gelu,0.607555,['grid'],5.28616,0.000326642,31,True,8.72154e-05,63.6
92,31,0.969466,16,gelu,0.528106,['grid'],2.5939,0.00130186,71,True,0.000246538,118.5
93,45,0.969466,16,relu,0.407974,['star'],1.59212,9.19127e-05,81,True,5.62835e-05,139.9
94,57,0.969466,16,gelu,0.65339,['kings'],8.15991,0.000108044,36,True,1.26724e-07,137.0
95,64,0.969466,16,gelu,0.364409,['grid'],4.52362,0.00130526,61,True,0.000195301,103.4
96,69,0.969466,16,gelu,0.403781,['vertical'],6.95952,0.000985162,61,True,0.000707186,108.1
97,107,0.969466,16,gelu,0.356908,['vertical'],3.11661,0.000194821,86,True,7.89342e-05,149.9
98,114,0.969466,16,gelu,0.467561,['vertical'],2.93382,5.27482e-05,91,True,1.46959e-05,142.6
