rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
1,148,0.984733,32,gelu,0.358253,9.69855,0.00220762,50,True,0.000986923,139.5
2,142,0.982824,16,gelu,0.401976,3.25478,0.00233692,50,True,0.000330291,213.3
3,33,0.980916,16,gelu,0.391108,5.22541,0.00108002,20,False,0.000957659,83.0
4,71,0.980916,16,gelu,0.409224,2.5438,0.00253157,55,True,0.000349161,243.6
5,138,0.980916,16,gelu,0.365445,2.8796,0.00118102,45,True,0.000226775,157.1
6,58,0.979008,16,gelu,0.402893,3.70003,0.00250161,40,True,2.03052e-05,194.7
7,103,0.979008,16,gelu,0.394611,3.28687,0.00218755,60,True,0.000537917,202.2
8,119,0.979008,16,gelu,0.517433,3.82487,0.00212195,35,True,0.000506206,237.0
9,187,0.979008,32,gelu,0.413611,5.72911,0.00343665,55,True,0.000729225,153.9
10,195,0.979008,16,gelu,0.371509,3.56293,0.00215974,80,True,0.000540967,207.9
11,16,0.977099,16,gelu,0.323896,9.82686,7.44925e-05,35,False,5.7228e-07,140.5
12,24,0.977099,16,gelu,0.375609,5.77908,0.000973225,30,False,0.000468474,180.0
13,65,0.977099,16,gelu,0.406921,1.7106,0.00287807,55,True,0.000339627,251.8
14,88,0.977099,16,gelu,0.312958,3.27927,0.0018462,65,True,0.000980943,220.5
15,92,0.977099,16,gelu,0.349337,4.10333,0.00205952,75,True,0.000537438,240.5
16,104,0.977099,16,gelu,0.390717,3.29675,0.00220226,65,True,0.000541606,219.6
17,108,0.977099,16,gelu,0.483446,2.9994,0.00342233,80,True,0.000214364,239.8
18,152,0.977099,32,gelu,0.385376,9.30334,0.00400738,50,True,0.000767275,144.8
19,171,0.977099,16,gelu,0.32036,3.34309,0.00129381,40,True,0.000994648,140.4
20,175,0.977099,16,gelu,0.384174,3.5351,0.00160124,40,True,0.000725115,147.8
21,176,0.977099,16,gelu,0.401265,7.00788,0.00187136,40,True,0.000505021,205.9
22,180,0.977099,16,gelu,0.53884,3.07319,0.00250898,45,True,0.000436868,235.4
23,60,0.975191,16,gelu,0.322717,3.53472,0.00141389,45,True,0.000949986,180.1
24,61,0.975191,16,gelu,0.312636,3.5179,0.00178428,40,True,0.000878177,141.8
25,63,0.975191,16,gelu,0.412986,2.61513,0.00283481,55,True,0.000345417,161.5
26,66,0.975191,16,gelu,0.372267,1.39295,0.00215866,40,True,0.000528853,161.5
27,68,0.975191,16,gelu,0.00827106,4.15106,0.00164277,50,True,0.000295373,146.1
28,69,0.975191,16,gelu,0.319839,1.90138,0.00341456,70,True,0.000683453,246.1
29,75,0.975191,16,gelu,0.350748,3.90762,0.00381091,65,True,8.67549e-05,225.4
30,78,0.975191,16,relu,0.377539,3.41088,0.00143585,55,True,0.000665707,242.0
31,86,0.975191,16,gelu,0.405075,3.89552,0.00482933,50,True,0.000259007,254.1
32,87,0.975191,16,gelu,0.459394,5.24938,0.00039806,45,True,0.000469283,174.3
33,102,0.975191,16,gelu,0.411615,2.75465,0.00427112,45,True,0.0003193,234.6
34,106,0.975191,16,gelu,0.366382,3.76795,0.0021947,70,True,7.80382e-06,183.4
35,110,0.975191,16,gelu,0.478651,2.38331,0.00316248,85,True,0.00020821,240.4
36,133,0.975191,16,gelu,0.277371,8.05542,0.00278575,35,True,0.000367638,159.3
37,139,0.975191,16,gelu,0.360365,1.58138,0.00115642,55,True,0.000154612,142.3
38,153,0.975191,32,gelu,0.382342,9.95195,0.00400868,50,True,0.00044946,144.6
39,164,0.975191,16,gelu,0.388931,3.25507,0.00163427,40,True,0.000998351,169.8
40,166,0.975191,16,gelu,0.29441,9.97116,0.00237708,40,True,0.000704491,132.1
41,182,0.975191,16,gelu,0.403006,3.41852,0.00154708,40,True,0.000497547,173.7
42,189,0.975191,32,gelu,0.423925,5.80461,0.00498204,55,True,0.000667876,158.0
43,199,0.975191,16,gelu,0.353104,3.41741,0.00406667,55,True,0.000269089,217.3
44,38,0.973282,32,gelu,0.343671,6.69312,0.000115673,15,True,8.52832e-07,53.8
45,50,0.973282,16,gelu,0.245197,3.69444,0.000228142,15,False,2.45431e-06,66.1
46,89,0.973282,16,gelu,0.264735,3.16171,0.00185729,60,True,0.000745325,213.5
47,101,0.973282,16,gelu,0.430838,3.57736,0.00259077,55,True,0.00039219,236.3
48,125,0.973282,16,gelu,0.297616,2.7566,0.00141183,55,True,0.0008199,204.6
49,128,0.973282,16,gelu,0.495622,1.13905,0.0020525,35,True,0.000473094,116.6
50,130,0.973282,16,gelu,0.433481,3.57682,0.00499826,90,True,0.000670103,201.7
51,134,0.973282,16,gelu,0.377485,6.20697,0.00177239,40,True,0.000794089,153.3
52,147,0.973282,16,gelu,0.455609,2.21959,0.00121041,55,True,0.000399562,154.2
53,154,0.973282,32,gelu,0.399935,9.73504,0.00402786,50,True,0.000793742,141.2
54,184,0.973282,16,gelu,0.423113,6.53413,0.00214143,30,True,0.000373933,150.9
55,185,0.973282,16,gelu,0.381147,2.57847,0.00264591,40,True,0.00060964,231.7
56,186,0.973282,16,gelu,0.44203,3.78009,0.00181123,30,True,0.000507987,122.9
57,193,0.973282,16,gelu,0.385535,3.14571,0.00302966,55,True,0.000346887,216.3
58,19,0.971374,16,gelu,0.360259,8.57049,2.7226e-05,15,False,2.18254e-05,121.7
59,25,0.971374,16,gelu,0.357786,5.89311,0.000541268,30,False,0.000530939,102.8
60,36,0.971374,16,gelu,0.414566,7.62218,0.000349868,50,True,5.99588e-08,148.0
61,37,0.971374,16,relu,0.307817,4.34191,2.83993e-05,35,False,0.000191367,190.7
62,39,0.971374,32,relu,0.268979,6.76384,0.000121141,100,True,8.73051e-07,132.5
63,40,0.971374,32,gelu,0.6018,2.47356,0.000732953,60,True,3.14417e-07,155.5
64,45,0.971374,16,gelu,0.22731,8.2489,0.000390647,20,False,4.9637e-06,56.0
65,62,0.971374,16,gelu,0.32133,2.25492,0.00159565,45,True,0.000791051,145.6
66,72,0.971374,16,gelu,0.422546,2.17427,0.00136073,60,True,0.000574011,198.8
67,80,0.971374,16,gelu,0.434302,2.37616,0.000782063,35,True,0.000438913,128.9
68,82,0.971374,16,gelu,0.335005,2.57994,0.00382686,55,True,0.000367936,251.8
69,91,0.971374,16,gelu,0.316344,3.35216,0.00345279,65,True,0.000389446,243.2
70,93,0.971374,16,gelu,0.340779,3.67685,0.000584333,80,True,0.000563998,229.2
71,96,0.971374,16,gelu,0.351214,3.92863,0.0011257,70,True,0.000981371,233.1
72,111,0.971374,16,gelu,0.576271,2.9933,0.00218409,90,True,3.98988e-06,232.9
73,113,0.971374,16,gelu,0.443532,5.20717,0.00488084,75,True,0.00047098,234.6
74,114,0.971374,16,gelu,0.399849,4.91798,0.00067485,60,True,0.000832127,244.8
75,118,0.971374,16,gelu,0.482586,2.92258,0.00164817,50,True,0.000292547,201.9
76,124,0.971374,16,gelu,0.543441,3.75495,0.00245417,40,True,0.000334489,215.3
77,127,0.971374,16,gelu,0.350006,4.48882,0.00342376,60,True,0.000994496,160.0
78,129,0.971374,16,relu,0.514125,4.01945,0.00107955,45,False,0.000268543,185.4
79,132,0.971374,16,gelu,0.308653,3.48347,0.000522541,30,True,0.000577681,113.0
80,143,0.971374,16,gelu,0.428418,3.21867,0.00257035,50,True,0.000113702,162.8
81,144,0.971374,16,gelu,0.405236,2.63905,0.00359796,50,True,0.000345318,212.1
82,151,0.971374,32,gelu,0.347846,9.50701,0.00152982,45,True,1.36349e-06,86.4
83,160,0.971374,16,gelu,0.340373,7.57983,0.00296252,60,True,2.59639e-07,162.8
84,161,0.971374,16,gelu,0.327309,9.62551,0.00199269,45,True,1.94629e-08,119.9
85,162,0.971374,16,gelu,0.352488,8.85339,0.0012732,45,True,0.000470544,154.3
86,165,0.971374,16,gelu,0.42744,3.50709,0.0034024,55,True,0.000387917,210.7
87,169,0.971374,16,gelu,0.373105,0.618875,0.00324029,65,True,0.000408305,209.7
88,172,0.971374,16,gelu,0.357313,3.34377,0.00131161,45,True,0.000850602,206.9
89,181,0.971374,16,gelu,0.401337,7.17209,0.00187685,40,True,0.000561955,212.1
90,190,0.971374,32,gelu,0.484507,4.998,0.00342997,60,True,3.33276e-06,130.2
91,194,0.971374,16,gelu,0.413313,5.35587,0.00166204,40,True,1.00036e-05,113.5
92,196,0.971374,32,gelu,0.368817,3.53783,0.00253495,80,True,0.000776842,153.3
93,197,0.971374,16,gelu,0.344943,9.71143,0.000999523,80,True,0.000614322,184.1
94,17,0.969466,16,gelu,0.168529,9.76255,0.00339465,10,False,1.34893e-05,45.1
95,43,0.969466,32,gelu,0.389023,6.4193,5.61345e-05,15,True,7.64961e-07,158.4
96,47,0.969466,16,gelu,0.339503,7.01759,1.84705e-05,85,True,0.000323162,220.3
97,49,0.969466,16,gelu,0.695438,9.49449,0.000115247,35,False,3.86783e-07,213.5
98,53,0.969466,16,gelu,0.108203,3.59442,5.68461e-05,20,False,5.96997e-07,81.7
99,54,0.969466,16,gelu,0.265138,5.60515,0.00106881,25,False,1.20555e-05,68.6
100,67,0.969466,16,relu,0.448956,0.74249,0.00096221,45,True,0.000206895,187.3
101,73,0.969466,16,gelu,0.40128,3.08034,0.00247008,40,True,0.000416474,234.0
102,74,0.969466,16,gelu,0.498495,1.41251,0.000903611,50,True,0.000262629,194.8
103,81,0.969466,16,gelu,0.420231,2.69787,0.00265186,50,True,0.000311579,177.6
104,83,0.969466,16,gelu,0.408303,2.88418,0.00258622,65,True,0.000612787,240.1
105,99,0.969466,16,gelu,0.327513,4.50574,0.000433423,75,False,0.000692616,207.5
106,126,0.969466,32,gelu,0.390389,3.10165,0.000829037,25,True,0.000625424,67.4
107,155,0.969466,32,gelu,0.360493,9.22918,0.00268902,55,True,0.000557622,144.4
108,159,0.969466,32,gelu,0.39589,5.50884,0.00419678,50,False,0.000718603,150.3
109,174,0.969466,16,gelu,0.415175,2.78942,0.00223957,50,True,0.000992642,200.3
110,21,0.967557,16,gelu,0.35845,9.08987,4.27854e-05,15,False,2.01231e-05,105.0
111,23,0.967557,16,gelu,0.501285,7.99092,0.000160918,10,False,3.8587e-06,107.3
112,31,0.967557,16,gelu,0.373638,7.80215,0.000596344,30,False,0.000480085,87.8
113,32,0.967557,16,gelu,0.285508,5.82212,0.000214599,25,False,0.000403912,97.2
